Geography,Total Population,Estimate 0-4,Percent 0-4,Estimate 5-14,Percent 5-14,Estimate 15-24,Percent 15-24,Estimate 25-44,Percent 25-44,Estimate 45-64,Percent 45-64,Estimate 65+,Percent 65+,Estimate Male,Percent Male,Estimate Female,Percent Female
Central Region,503845,33290,6.6,56008,11.1,83472,16.6,171907,34.1,110995,22,48173,9.6,256841,51,247004,49
Central San Diego,169456,8196,4.8,11037,6.5,21508,12.7,73500,43.4,37728,22.3,17487,10.3,91760,54.1,77696,45.9
Mid-City,169472,12031,7.1,20649,12.2,34787,20.5,52693,31.1,35520,21,13792,8.1,84186,49.7,85286,50.3
Southeastern San Diego,164917,13063,7.9,24322,14.7,27177,16.5,45714,27.7,37747,22.9,16894,10.2,80895,49.1,84022,50.9
East Region,482772,30900,6.4,61892,12.8,69168,14.3,127350,26.4,129023,26.7,64439,13.3,241047,49.9,241725,50.1
Alpine,15672,751,4.8,1641,10.5,2294,14.6,3133,20,4950,31.6,2903,18.5,7404,47.2,8268,52.8
El Cajon,129950,8962,6.9,17412,13.4,20330,15.6,35050,27,32152,24.7,16044,12.3,65878,50.7,64072,49.3
Harbison Crest,15489,531,3.4,1783,11.5,1921,12.4,3064,19.8,5303,34.2,2887,18.6,7839,50.6,7650,49.4
Jamul,19165,675,3.5,2277,11.9,3134,16.4,4778,24.9,5783,30.2,2518,13.1,11015,57.5,8150,42.5
La Mesa,61282,4209,6.9,6483,10.6,7584,12.4,18754,30.6,15071,24.6,9181,15,29331,47.9,31951,52.1
Laguna-Pine Valley,5653,392,6.9,604,10.7,906,16,1145,20.3,1713,30.3,893,15.8,2978,52.7,2675,47.3
Lakeside,57417,3811,6.6,8426,14.7,7573,13.2,14678,25.6,15718,27.4,7211,12.6,28249,49.2,29168,50.8
Lemon Grove,31127,1745,5.6,4247,13.6,4619,14.8,8634,27.7,8212,26.4,3670,11.8,15348,49.3,15779,50.7
Mountain Empire,7178,548,7.6,842,11.7,1027,14.3,1670,23.3,1996,27.8,1095,15.3,4051,56.4,3127,43.6
Santee,52911,3459,6.5,6628,12.5,7116,13.4,14113,26.7,15071,28.5,6524,12.3,25905,49,27006,51
Spring Valley,86928,5817,6.7,11549,13.3,12664,14.6,22331,25.7,23054,26.5,11513,13.2,43049,49.5,43879,50.5
North Central Region,625333,35720,5.7,63046,10.1,96522,15.4,199826,32,150208,24,80011,12.8,316108,50.6,309225,49.4
Coastal,75670,2888,3.8,4790,6.3,11047,14.6,28165,37.2,15929,21.1,12851,17,38412,50.8,37258,49.2
Del Mar-Mira Mesa,168711,10147,6,23213,13.8,20532,12.2,49483,29.3,48319,28.6,17017,10.1,84180,49.9,84531,50.1
Kearny Mesa,163800,9436,5.8,15361,9.4,25155,15.4,53647,32.8,38889,23.7,21312,13,83256,50.8,80544,49.2
Miramar,5027,383,7.6,563,11.2,2858,56.9,1176,23.4,47,0.9,0,0,3624,72.1,1403,27.9
Peninsula,63119,3667,5.8,4580,7.3,12611,20,20039,31.7,14508,23,7714,12.2,33646,53.3,29473,46.7
University,57083,2644,4.6,3230,5.7,13559,23.8,21495,37.7,9358,16.4,6797,11.9,28294,49.6,28789,50.4
North Coastal Region,524777,36117,6.9,64865,12.4,81463,15.5,145035,27.6,129561,24.7,67736,12.9,269884,51.4,254893,48.6
Carlsbad,121237,6792,5.6,15678,12.9,12718,10.5,31016,25.6,34620,28.6,20413,16.8,60142,49.6,61095,50.4
Oceanside,164326,10872,6.6,20211,12.3,24843,15.1,47306,28.8,40892,24.9,20202,12.3,83019,50.5,81307,49.5
Pendleton,39454,6321,16,3365,8.5,19688,49.9,9938,25.2,112,0.3,30,0.1,27962,70.9,11492,29.1
San Dieguito,96984,5409,5.6,12345,12.7,9533,9.8,25029,25.8,28917,29.8,15751,16.2,47393,48.9,49591,51.1
Vista,102776,6723,6.5,13266,12.9,14681,14.3,31746,30.9,25020,24.3,11340,11,51368,50,51408,50
North Inland Region,591808,41135,7,79326,13.4,76678,13,156971,26.5,157106,26.5,80592,13.6,289501,48.9,302307,51.1
Anza-Borrego Springs,3498,234,6.7,184,5.3,350,10,661,18.9,987,28.2,1082,30.9,1946,55.6,1552,44.4
Escondido,170061,13185,7.8,22217,13.1,26442,15.5,49820,29.3,40097,23.6,18300,10.8,84987,50,85074,50
Fallbrook,48673,3046,6.3,5191,10.7,6163,12.7,11236,23.1,13516,27.8,9521,19.6,24170,49.7,24503,50.3
North San Diego,112537,7938,7.1,15871,14.1,12377,11,30639,27.2,30452,27.1,15260,13.6,53590,47.6,58947,52.4
Palomar-Julian,5517,220,4,679,12.3,402,7.3,1052,19.1,1680,30.5,1484,26.9,2588,46.9,2929,53.1
Pauma,7067,754,10.7,1121,15.9,937,13.3,1930,27.3,1554,22,771,10.9,3663,51.8,3404,48.2
Poway,89473,6152,6.9,12506,14,10535,11.8,21940,24.5,25760,28.8,12580,14.1,42716,47.7,46757,52.3
Ramona,36388,1920,5.3,5187,14.3,4741,13,8332,22.9,11845,32.6,4363,12,18026,49.5,18362,50.5
San Marcos,95452,6449,6.8,13482,14.1,12204,12.8,26783,28.1,23372,24.5,13162,13.8,46198,48.4,49254,51.6
Valley Center,23142,1237,5.3,2888,12.5,2527,10.9,4578,19.8,7843,33.9,4069,17.6,11617,50.2,11525,49.8
South Region,494561,33712,6.8,69352,14,81996,16.6,138083,27.9,114695,23.2,56723,11.5,245564,49.7,248997,50.3
Chula Vista,117224,8188,7,15774,13.5,18134,15.5,31869,27.2,27306,23.3,15953,13.6,57506,49.1,59718,50.9
Coronado,24447,1075,4.4,2524,10.3,4625,18.9,5971,24.4,5953,24.4,4299,17.6,13200,54,11247,46
National City,59631,3888,6.5,7607,12.8,11335,19,17115,28.7,13244,22.2,6442,10.8,30004,50.3,29627,49.7
South Bay,147225,11148,7.6,20923,14.2,25541,17.3,41058,27.9,33251,22.6,15304,10.4,72865,49.5,74360,50.5
Sweetwater,146034,9413,6.4,22524,15.4,22361,15.3,42070,28.8,34941,23.9,14725,10.1,71989,49.3,74045,50.7
San Diego County,3223096,210874,6.5,394489,12.2,489299,15.2,939172,29.1,791588,24.6,397674,12.3,1618945,50.2,1604151,49.8
Elliott-Navajo,91923,6555,7.1,11309,12.3,10760,11.7,25821,28.1,23158,25.2,14320,15.6,44696,48.6,47227,51.4
