Current Date:,4/9/2018,11:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8 Hour Rolling Average Report,,,,,,,,,,,,,,,,,,,,
4/8/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total,,
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.019,.021,.022,.024,.026,.03,.034,.038,.042,.046,.047,.048,.048,.047,.046,.044,.043,.042,.042,.042,.042,.044,.045,.047,0.038,0.048,11
,CHULA VISTA,.033,.031,.032,.033,.033,.033,.035,.037,.038,.038,.039,.04,.04,.04,.038,.036,.033,.03,.026,.023,.02,.015,.01,.008,0.03,0.04,11
,EL CAJON LES,,,.032,.033,.034,.036,.038,.041,.044,.047,.049,.05,.051,.05,.048,.046,.043,.039,.035,.034,.031,,,,0.041,0.051,12
,KEARNY MESA,.031,.03,.031,.032,.033,.035,.038,.041,.042,.045,.047,.048,.047,.045,.043,.04,.037,.032,.028,.025,.023,.018,.014,.012,0.034,0.048,11
,OTAY MESA DVN,.029,.03,.03,.031,.032,.033,.036,.039,.041,.042,.043,.044,.043,.042,.039,.037,.035,.034,.032,.031,.03,.026,.024,.021,0.034,0.044,11
,PENDLETON,.036,.035,.035,.035,.035,.034,.034,.034,.035,.037,.038,.039,.04,.038,.038,.036,.033,.03,.029,.027,.022,.019,.015,.013,0.031,0.04,12
