Current Date:,4/15/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
4/14/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.057,.057,C,C,.056,.055,.052,.054,.055,.054,.056,.057,.057,.059,.068,.066,.065,.064,.063,.060,.061,.057,.058,.061,.058,.068,14
,CHULA VISTA,.020,.030,C,C,.026,.019,.025,.032,.047,.048,.049,.053,.054,.054,.057,.056,.056,.054,.051,.039,.018,.020,.015,.016,.038,.057,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.023,.025,C,C,C,.007,.009,.019,.029,.048,.056,.060,.061,.066,.066,.065,.065,.064,.057,.042,.028,.032,.033,.031,.042,.066,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.041,.042,C,C,.030,.032,.036,.044,.047,.051,.055,.057,.062,.063,.062,.065,.066,.064,.060,.050,.040,.036,.029,.025,.048,.066,16
,OTAY MESA DVN,.040,.031,C,C,.049,.047,.039,.042,.044,.049,.053,.059,.062,.062,.062,.062,.061,.058,.059,.059,.059,.056,.049,.045,.052,.062,12
,PENDLETON,.040,.038,C,C,.030,.024,.029,.031,.034,.042,.045,.051,.056,.062,.067,.072,.072,.075,.071,.070,.059,.044,.039,.034,.049,.075,17
02 NOX PPM,ALPINE,.000,.000,C,C,.000,.000,.003,.001,.001,.000,.000,.000,.000,.001,.001,.001,.001,.001,.001,.002,.002,.002,.001,.000,.001,.003,06
,CARMEL MT RCH,.032,.031,C,C,C,.065,.070,.065,.033,.009,.012,.017,.016,.013,.012,.013,.013,.014,.022,.030,.033,.026,.037,.022,.028,.070,06
,CHULA VISTA,.023,.016,C,C,.013,.023,.023,.020,.009,.011,.012,.006,.006,.008,.006,.007,.010,.009,.009,.019,.032,.027,.029,.026,.016,.032,20
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.012,.009,C,C,C,.025,.039,.037,.028,.009,.004,.001,.000,.001,.001,.000,.000,.001,.005,.016,.020,.014,.010,.010,.012,.039,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.010,.005,C,C,.014,.012,.008,.005,.004,.002,.001,.003,.002,.001,.001,.001,.001,.001,.004,.010,.015,.015,.017,.023,.007,.023,23
,OTAY MESA DVN,.006,.012,C,C,.002,.002,.006,.007,.014,.009,.007,.005,.002,.002,.002,.002,.004,.004,.002,.001,.000,.002,.007,.006,.005,.014,08
,PENDLETON,.009,.007,C,C,.010,.017,.011,.011,.011,.007,.007,.005,.006,.004,.004,.003,.003,.005,.006,.006,.009,.018,.017,.015,.009,.018,21
03 NO2 PPM,ALPINE,.000,.000,C,C,.000,.000,.002,.001,.000,.000,.000,.000,.000,.000,.001,.001,.001,.001,.001,.002,.002,.002,.001,.000,.001,.002,06
,CARMEL MT RCH,.029,.027,C,C,C,.040,.038,.034,.019,.006,.008,.011,.010,.008,.008,.008,.008,.010,.018,.028,.031,.025,.033,.021,.020,.040,05
,CHULA VISTA,.022,.014,C,C,.012,.020,.018,.015,.007,.007,.009,.004,.004,.005,.004,.005,.008,.007,.008,.017,.031,.026,.028,.025,.013,.031,20
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.012,.009,C,C,C,.020,.021,.020,.018,.007,.002,.000,.000,.001,.000,.000,.000,.000,.005,.015,.019,.013,.010,.010,.009,.021,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
