Current Date:,8/4/2018,11:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8 Hour Rolling Average Report,,,,,,,,,,,,,,,,,,,,
8/3/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total,,
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.027,.029,.032,.035,.038,.043,.048,.053,.057,.059,.059,.057,.053,.047,.041,.035,.03,.026,.024,.023,.022,.023,.026,.029,0.038,0.059,09
,CHULA VISTA,.017,.017,.019,.021,.023,.026,.029,.032,.034,.035,.034,.033,.031,.03,.028,.027,.025,.024,.023,.023,.023,.021,.019,.018,0.025,0.035,09
,EL CAJON LES,,,,.026,.029,.032,.037,.041,.044,.045,.045,.042,.038,.034,.029,.025,.022,.02,.018,.017,.016,,,,0.031,0.045,09
,KEARNY MESA,.008,.01,.012,.016,.019,.024,.028,.031,.033,.035,.035,.033,.03,.027,.024,.021,.019,.017,.015,.014,.013,.011,.011,.012,0.02,0.035,09
,OTAY MESA DVN,.011,.012,.015,.019,.023,.028,.033,.039,.043,.046,.046,.043,.038,.033,.029,.023,.022,.022,.02,.019,.019,.018,.017,.016,0.026,0.046,09
,PENDLETON,.011,.013,.016,.017,.018,.021,.024,.026,.027,.027,.027,.028,.028,.027,.027,.026,.024,.023,.022,.021,.02,.018,.017,.016,0.021,0.028,11
