Current Date:,8/7/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
8/6/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.053,.052,C,C,.050,.051,.045,.048,.052,.058,.068,.076,.087,.090,.082,.077,.074,.063,.049,.042,.039,.045,.048,.053,.059,.090,13
,CHULA VISTA,.007,.004,C,C,.025,.025,.018,.020,.028,.038,.045,.044,.047,.052,.045,.043,.040,.034,.030,.028,.027,.024,.021,.015,.030,.052,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.014,.013,C,C,C,.006,.013,.021,.034,.049,.062,.022,.045,.067,.064,.059,.050,.046,.037,.028,.023,.020,.017,.017,.033,.067,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.008,.011,C,C,.001,.003,.008,.014,.022,M,.055,.059,.050,.047,.049,.043,.044,.041,.035,.025,.019,.006,.007,.008,.026,.059,11
,OTAY MESA DVN,.016,.019,C,C,.014,.008,.017,.021,.029,.043,.062,.061,.054,.058,.059,.052,.044,.040,.035,.029,.025,.024,.022,.014,.033,.062,10
,PENDLETON,.019,.017,C,C,.010,.006,.012,.022,.027,.038,.042,.045,.041,.036,.035,.035,.041,.042,.039,.041,.041,.037,.029,.023,.030,.045,11
02 NOX PPM,ALPINE,.001,.002,C,C,.001,.002,.004,.008,.006,.003,.004,.005,.006,.006,.004,.003,.004,.005,.006,.007,.007,.007,.004,.003,.004,.008,07
,CARMEL MT RCH,.026,.021,C,C,C,.032,.056,.051,.054,.039,.039,.030,.025,.031,.024,.019,.018,.019,.020,.021,.036,.038,.033,.040,.032,.056,06
,CHULA VISTA,.011,.013,C,C,.003,.004,.011,.013,.013,.012,.008,.004,.003,.003,.003,.003,.002,.003,.002,.003,.002,.004,.006,.007,.006,.013,01
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.006,.005,C,C,C,.011,.015,.020,.018,.011,.009,.005,.003,.006,.005,.006,.006,.006,.007,.007,.006,.007,.006,.005,.008,.020,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.014,.012,C,C,.031,.029,.023,.024,.025,M,.010,.007,.007,.007,.006,.006,.006,.004,.005,.010,.012,.025,.020,.017,.014,.031,04
,OTAY MESA DVN,.009,.007,C,C,.007,.017,.007,.011,.013,.012,.009,.004,.004,.004,.004,.004,.003,.001,.001,.002,.002,.003,.005,.012,.006,.017,05
,PENDLETON,.005,.005,C,C,.010,.030,.012,.009,.017,.004,.002,.002,.003,.006,.005,.002,.002,.001,.001,.001,.001,.001,.004,.009,.006,.030,05
03 NO2 PPM,ALPINE,.001,.001,C,C,.001,.002,.004,.006,.005,.003,.004,.004,.006,.005,.004,.003,.003,.005,.006,.007,.007,.006,.004,.003,.004,.007,19
,CARMEL MT RCH,.017,.016,C,C,C,.015,.020,.023,.028,.024,.025,.019,.015,.019,.014,.012,.011,.012,.013,.014,.023,.028,.027,.028,.019,.028,08
,CHULA VISTA,.010,.011,C,C,.003,.003,.009,.009,.010,.009,.006,.003,.003,.003,.002,.002,.002,.002,.002,.002,.002,.004,.005,.007,.005,.011,01
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.006,.005,C,C,C,.008,.009,.013,.013,.009,.007,.003,.002,.005,.004,.004,.005,.005,.006,.006,.006,.007,.006,.005,.006,.013,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.014,.012,C,C,.015,.019,.015,.014,.016,M,.009,.006,.006,.006,.005,.005,.005,.004,.005,.010,.012,.023,.020,.017,.011,.023,21
