Current Date:,12/27/2018,11:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8 Hour Rolling Average Report,,,,,,,,,,,,,,,,,,,,
12/26/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total,,
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.031,.03,.03,.031,.032,.032,.034,.035,.037,.039,.038,.037,.035,.034,.032,.031,.03,.029,.03,.03,.03,.032,.032,.033,0.032,0.039,09
,CHULA VISTA,.015,.014,.014,.016,.018,.021,.025,.028,.032,.035,.036,.033,.029,.025,.022,.018,.015,.013,.012,.013,.014,.014,.013,.011,0.02,0.036,10
,EL CAJON LES,,,,.007,.011,.015,.019,.024,.028,.032,.033,.032,.028,.024,.019,.015,.011,.007,.005,.004,.003,,,,0.017,0.033,10
,KEARNY MESA,.011,.011,.012,.014,.017,.021,.025,.029,.032,.035,.035,.032,.029,.027,.025,.022,.019,.016,.014,.015,.016,.014,.012,.01,0.02,0.035,09
,OTAY MESA DVN,.013,.012,.012,.015,.017,.019,.022,.026,.031,.035,.037,.037,.037,.036,.034,.033,.032,.03,.027,.027,.026,.023,.019,.015,0.025,0.037,10
,PENDLETON,.012,.012,.012,.015,.017,.02,.024,.027,.032,.036,.038,.037,.034,.032,.03,.026,.023,.019,.016,.016,.016,.015,.014,.014,0.022,0.038,10
