Current Date:,8/1/2018,11:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8 Hour Rolling Average Report,,,,,,,,,,,,,,,,,,,,
7/31/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total,,
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.026,.029,.033,.036,.04,.046,.051,.056,.06,.062,.062,.059,.055,.049,.042,.036,.031,.025,.022,.02,.019,.019,.019,.019,0.038,0.062,09
,CHULA VISTA,.022,.022,.023,.024,.024,.026,.029,.031,.033,.034,.033,.032,.031,.031,.03,.029,.027,.027,.027,.027,.026,.025,.023,.022,0.027,0.034,09
,EL CAJON LES,,,,.024,.028,.032,.037,.042,.045,.047,.046,.045,.041,.036,.032,.029,.025,.023,.021,.02,.019,,,,0.032,0.047,09
,KEARNY MESA,.014,.016,.019,.021,.023,.028,.031,.032,.034,.035,.035,.033,.032,.029,.028,.028,.026,.025,.023,.022,.022,.02,.018,.018,0.025,0.035,09
,OTAY MESA DVN,.019,.019,,.023,.026,.029,.034,.036,.038,.039,.038,.036,.034,.032,.029,.027,.026,.025,.023,.023,.022,.02,.019,.019,0.027,0.039,09
,PENDLETON,.018,.018,,,.02,.024,.03,.033,.034,.034,.033,.033,.032,.032,.031,.029,.028,.027,.025,.024,.022,.018,.014,.014,0.026,0.034,08
