Current Date:,6/4/2018,11:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8 Hour Rolling Average Report,,,,,,,,,,,,,,,,,,,,
6/3/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total,,
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.035,.038,.04,.043,.049,.054,.058,.06,.062,.063,.063,.061,.058,.055,.051,.047,.043,.04,.037,.035,.034,.036,.039,.042,0.047,0.063,09
,CHULA VISTA,.025,.027,.028,.03,.032,.034,.035,.037,.039,.04,.039,.038,.038,.037,.036,.035,.034,.034,.033,.033,.032,.031,.03,.028,0.033,0.04,09
,EL CAJON LES,,,.031,.035,.038,.042,.046,.05,.054,.057,.056,.053,.05,.046,.043,.039,.036,.032,.031,.03,.029,,,,0.042,0.057,09
,KEARNY MESA,.024,.029,.031,.033,.036,.039,.042,.045,.046,.047,.046,.045,.043,.04,.038,.035,.032,.031,.029,.028,.028,.027,.026,.025,0.035,0.047,09
,OTAY MESA DVN,.025,.028,.03,.032,.034,.036,.04,.042,.045,.047,.047,.046,.044,.043,.041,.038,.036,.033,.032,.031,.03,.029,.027,.026,0.035,0.047,09
,PENDLETON,.03,.03,.032,.033,.033,.034,.037,.038,.039,.04,.039,.038,.038,.038,.038,.039,.039,.039,.039,.04,.04,.039,.037,.034,0.036,0.04,09
