Current Date:,3/21/2018,11:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8 Hour Rolling Average Report,,,,,,,,,,,,,,,,,,,,
3/20/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total,,
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.046,.045,.045,.046,.046,.046,.048,.05,.052,.055,.056,.056,.056,.055,.052,.049,.047,.046,.046,.046,.045,.048,.052,.055,0.049,0.056,10
,CHULA VISTA,.009,.012,.015,.018,.022,.028,.035,.041,.046,.047,.048,.047,.046,.044,.041,.038,.035,.031,.028,.027,.025,.021,.017,.012,0.03,0.048,10
,EL CAJON LES,,,.011,.014,.019,.025,.032,.039,.045,.049,.051,.053,.051,.051,.048,.044,.04,.037,.034,.033,.032,,,,0.037,0.053,11
,KEARNY MESA,.016,.016,.019,.022,.025,.031,.037,.043,.046,.049,.051,.051,.05,.049,.047,.044,.042,.04,.038,.035,.032,.029,.024,.021,0.035,0.051,10
,OTAY MESA DVN,.023,.024,.023,.025,.027,.032,.035,.04,.045,.049,.051,.051,.05,.047,.045,.041,.036,.032,.03,.029,.028,.027,.025,.026,0.035,0.051,10
,PENDLETON,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
