Current Date:,5/29/2018,11:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8 Hour Rolling Average Report,,,,,,,,,,,,,,,,,,,,
5/28/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total,,
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.027,.027,.029,.031,.033,.036,.039,.042,.045,.048,.049,.049,.048,.047,.044,.041,.038,.035,.032,.031,.029,.027,.026,.025,0.036,0.049,10
,CHULA VISTA,.035,.035,.035,.035,.036,.037,.037,.038,.039,.04,.041,.041,.04,.04,.039,.039,.039,.038,.037,.037,.037,.037,.035,.034,0.037,0.041,10
,EL CAJON LES,,,,.036,.038,.04,.041,.043,.045,.047,.048,.047,.046,.044,.043,.042,.041,.04,.038,.038,.038,,,,0.041,0.048,10
,KEARNY MESA,.035,.035,.035,.036,.037,.038,.04,.041,.042,.043,.044,.043,.043,.042,.041,.04,.039,.038,.038,.038,.038,.037,.036,.035,0.038,0.044,10
,OTAY MESA DVN,.033,.034,.034,.035,.037,.039,.04,.042,.043,.044,.045,.045,.044,.043,.042,.041,.04,.039,.037,.037,.036,.035,.034,.033,0.038,0.045,10
,PENDLETON,.028,.03,.033,.034,.035,.038,.041,.042,.043,.044,.044,.044,.044,.044,.043,.042,.042,.042,.041,.041,.041,.04,.039,.038,0.039,0.044,09
