Current Date:,11/18/2018,11:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8 Hour Rolling Average Report,,,,,,,,,,,,,,,,,,,,
11/17/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total,,
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.049,.047,.047,.048,.049,.05,.051,.052,.054,.055,.054,.052,.05,.049,.048,.047,.047,.046,.046,.048,.049,.049,.049,.049,0.049,0.055,09
,CHULA VISTA,.018,.018,.019,.022,.024,.027,.031,.037,.043,.047,.05,.049,.046,.042,.037,.031,.026,.022,.02,.018,.018,.018,.02,.02,0.029,0.05,10
,EL CAJON LES,,,,.013,.018,.022,.029,.035,.04,.044,.047,.047,.044,.041,.039,.034,.03,.027,.024,.023,,,,,0.032,0.047,10
,KEARNY MESA,.026,.027,.03,.032,.034,.037,.041,.044,.048,.051,.052,.051,.049,.046,.044,.04,.036,.032,.029,.027,.027,.026,.025,.024,0.036,0.052,10
,OTAY MESA DVN,.018,.018,.02,.023,.025,.028,.032,.037,.042,.046,.048,.048,.047,.045,.043,.04,.035,.032,.031,.029,.026,.025,.023,.024,0.032,0.048,10
,PENDLETON,.018,.02,.022,.026,.029,.033,.037,.043,.048,.053,.057,.057,.055,.054,.051,.048,.044,.039,.035,.033,.032,.029,.026,.024,0.038,0.057,10
