Current Date:,10/28/2018,11:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8 Hour Rolling Average Report,,,,,,,,,,,,,,,,,,,,
10/27/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total,,
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.057,.055,.054,.055,.056,.058,.061,.064,.068,.071,.071,.071,.07,.068,.066,.064,.063,.062,.062,.063,.065,.065,.064,.063,0.063,0.071,09
,CHULA VISTA,.005,.006,.009,.013,.019,.027,.035,.042,.048,.053,.055,.055,.051,.046,.04,.033,.026,.019,.015,.012,.007,.003,.002,.001,0.025,0.055,10
,EL CAJON LES,,,,.023,.029,.035,.045,.053,.06,.064,.065,.063,.059,.05,.041,.033,.026,.02,.015,.012,,,,,0.04,0.065,10
,KEARNY MESA,.017,.016,.017,.021,.027,.034,.042,.049,.054,.059,.06,.058,.054,.048,.042,.035,.03,.024,.021,.019,.016,.015,.015,.014,0.032,0.06,10
,OTAY MESA DVN,.025,.025,.028,.031,.035,.041,.046,.051,.055,.057,.058,.056,.052,.048,.045,.042,.039,.037,.035,.035,.035,.035,.033,.031,0.04,0.058,10
,PENDLETON,.017,.017,.02,.022,.027,.033,.039,.046,.05,.051,.051,.05,.048,.045,.042,.038,.036,.034,.031,.03,.029,.027,.025,.024,0.034,0.051,09
