Current Date:,9/21/2018,11:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8 Hour Rolling Average Report,,,,,,,,,,,,,,,,,,,,
9/20/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total,,
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,,,,,,,,.061,.063,.063,.065,.065,.062,.057,.051,.046,.045,.045,.046,.047,.049,.052,.055,.055,0.054,0.065,10
,CHULA VISTA,.03,.028,.027,.027,.03,.032,.034,.036,.039,.041,.042,.042,.041,.041,.039,.035,.032,.029,.025,.023,.02,.015,.01,.009,0.03,0.042,10
,EL CAJON LES,,,,.03,.033,.036,.04,.045,.048,.05,.051,.051,.049,.046,.042,.039,.035,.031,.028,.027,.025,,,,0.039,0.051,10
,KEARNY MESA,.023,.026,.029,.03,.033,.036,.039,.042,.043,.045,.046,.046,.044,.042,.039,.035,.031,.027,.024,.022,.02,.014,.009,.008,0.031,0.046,10
,OTAY MESA DVN,.021,.02,.021,.024,.027,.03,.034,.039,.043,.045,.046,.046,.044,.042,.039,.037,.035,.033,.032,.031,,,,,0.034,0.046,10
,PENDLETON,.031,,,,,,,,,,,,.042,.041,.042,.041,.04,.037,.035,.034,.033,.028,.023,.018,0.034,0.042,12
