Current Date:,4/26/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
4/25/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.049,.052,C,C,.056,.054,.048,M,M,M,M,M,M,M,M,.070,.061,.053,.046,.041,.030,.032,.040,.033,.047,.070,15
,CHULA VISTA,.037,.036,C,C,.032,.032,.032,.030,.033,.041,.046,.052,.051,.048,.046,.044,.046,.041,.037,.028,.029,.029,.031,.033,.037,.052,11
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.024,.024,C,C,C,.021,.021,.022,.026,.031,.046,.052,.059,.063,.055,.049,.048,.043,.034,.029,.026,.024,.020,.022,.035,.063,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.025,.024,C,C,.021,.020,.021,.022,.026,.029,.034,.045,.052,.051,.049,.047,.047,.040,.033,.028,.024,.021,.022,.023,.032,.052,12
,OTAY MESA DVN,.024,.019,C,C,.019,.017,.019,.022,.027,.035,.042,.050,.053,.053,.046,.044,.042,.040,.036,.032,.026,.025,.023,.021,.032,.053,12
,PENDLETON,.039,.038,C,C,.033,.034,.026,.022,.030,.036,.039,.041,.041,.040,.038,.037,.034,.034,.035,.031,.031,.033,.033,.031,.034,.041,11
02 NOX PPM,ALPINE,.003,.002,C,C,.003,.004,.005,M,M,M,M,M,M,M,M,.005,.006,.007,.007,.007,.011,.010,.006,.009,.006,.011,20
,CARMEL MT RCH,.010,.011,C,C,C,.026,.044,.043,.034,.041,.032,.027,.033,.028,.023,.019,.017,.016,.018,.019,.017,.017,.012,.010,.024,.044,06
,CHULA VISTA,.002,.002,C,C,.004,.004,.005,.009,.012,.008,.008,.004,.003,.003,.003,.003,.003,.003,.002,.002,.002,.002,.002,.001,.004,.012,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.005,.004,C,C,C,.005,.006,.009,.014,.016,.013,.014,.011,.008,.008,.009,.009,.009,.011,.009,.006,.005,.005,.005,.009,.016,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.006,.006,C,C,.007,.010,.011,.013,.015,.020,.021,.010,.009,.007,.008,.007,.004,.005,.005,.005,.005,.008,.006,.006,.009,.021,10
,OTAY MESA DVN,.005,.006,C,C,.006,.005,.006,.005,.006,.007,.012,.009,.007,.006,.005,.005,.005,.003,.004,.004,.004,.004,.004,.006,.006,.012,10
,PENDLETON,.001,.001,C,C,.003,.003,.005,.013,.007,.003,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,.013,07
03 NO2 PPM,ALPINE,.003,.002,C,C,.002,.003,.004,M,M,M,M,M,M,M,M,.004,.006,.006,.007,.007,.011,.010,.006,.008,.006,.011,20
,CARMEL MT RCH,.007,.008,C,C,C,.012,.017,.017,.014,.020,.016,.015,.018,.016,.013,.011,.010,.010,.011,.011,.010,.011,.007,.007,.012,.020,09
,CHULA VISTA,.002,.002,C,C,.004,.004,.005,.007,.008,.006,.007,.004,.003,.003,.002,.002,.002,.002,.002,.002,.002,.002,.002,.001,.003,.008,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.005,.004,C,C,C,.005,.005,.006,.010,.011,.010,.011,.008,.006,.007,.007,.007,.008,.010,.009,.006,.005,.005,.005,.007,.011,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.006,.006,C,C,.007,.009,.010,.010,.010,.013,.015,.008,.008,.005,.007,.006,.004,.005,.005,.004,.004,.007,.006,.006,.007,.015,10
,OTAY MESA DVN,.005,.006,C,C,.006,.005,.005,.004,.005,.006,.010,.007,.006,.005,.004,.004,.005,.003,.004,.004,.004,.004,.004,.006,.005,.010,10
,PENDLETON,.001,.001,C,C,.003,.003,.005,.009,.005,.003,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.002,.009,07
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.001,M,M,M,M,M,M,M,M,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,05
,CARMEL MT RCH,.003,.004,C,C,C,.014,.027,.027,.020,.021,.015,.012,.015,.012,.010,.007,.007,.006,.006,.008,.007,.007,.004,.003,.011,.027,06
,CHULA VISTA,.000,.000,C,C,.000,.000,.000,.002,.004,.002,.002,.001,.000,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.004,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.000,.001,.003,.005,.005,.003,.003,.002,.001,.001,.002,.002,.001,.000,.000,.000,.000,.000,.000,.001,.005,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.001,.004,.005,.006,.006,.002,.002,.001,.002,.001,.001,.000,.000,.000,.000,.001,.000,.000,.001,.006,09
,OTAY MESA DVN,.000,.000,C,C,.000,.001,.001,.001,.001,.001,.002,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.002,10
,PENDLETON,.000,.000,C,C,.000,.000,.000,.004,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.004,07
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,C,.4,.7,.6,.5,.5,.5,.5,.5,.6,.4,.3,.4,.4,.4,.5,.4,.4,.3,.3,.4,.7,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,26,25,26,26,26,25,25,24,23,23,23,23,23,23,23,23,23,24,23,24,24,25,25,25,24,26,00
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,26,25,26,25,25,25,25,25,25,25,26,26,26,26,26,26,26,00
,CHULA VISTA,25,26,26,27,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,24,25,25,27,03
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,26,26,27,27,27,27,27,26,26,26,26,26,26,25,23,23,23,23,23,24,24,24,24,24,25,27,02
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,24,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,27,27,27,27,27,27,27,27,27,27,26,26,25,25,25,25,26,25,26,26,26,27,27,27,26,27,00
,PENDLETON,24,25,25,25,25,24,24,24,24,23,22,23,23,23,23,23,23,23,23,24,24,24,24,24,24,25,01
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,9.0,6.6,6.2,3.8,4.8,6.3,7.6,4.2,2.1,2.4,3.6,7.9,11.3,14.5,11.8,11.8,12.1,11.5,14.4,9.0,11.7,15.4,10.6,10.1,8.6,15.4,21
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,13.0,8.8,9.5,17.1,14.7,13.5,19.2,22.1,20.3,21.5,21.4,18.9,M,M,M,M,15.3,11.8,12.3,9.7,10.6,7.4,6.2,12.2,14.2,22.1,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,9.0,17.5,15.5,16.7,10.4,10.2,8.1,20.6,16.2,12.9,19.3,21.8,M,M,M,M,M,M,M,M,M,M,M,M,14.8,21.8,11
,PENDLETON,8.6,7.8,10.2,12.4,10.2,12.9,9.1,10.8,12.5,12.2,11.9,15.4,9.6,12.0,7.1,4.0,3.2,4.6,4.0,4.7,3.0,1.7,3.0,2.1,8.0,15.4,11
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,99,101,112,79,349,23,146,204,253,269,267,284,277,286,262,273,272,308,331,329,125,86,332,324,225,349,04
,CHULA VISTA,149,298,155,83,270,276,269,344,300,271,264,257,253,253,254,259,259,250,253,253,264,227,243,236,248,344,07
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,160,127,54,307,205,142,146,123,303,253,272,271,238,257,218,220,215,202,205,202,175,172,194,185,202,307,03
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,40,94,109,100,123,167,179,325,257,287,256,273,288,299,288,279,294,301,295,292,279,267,276,155,230,325,07
,OTAY MESA DVN,159,28,25,19,340,17,5,334,318,312,295,298,296,294,292,296,293,284,311,324,338,348,21,310,232,348,21
,PENDLETON,201,147,109,153,186,36,347,323,235,246,248,258,261,265,265,264,254,254,254,256,230,215,173,212,225,347,06
13 SIGTHETA °,ALPINE,22,15,14,23,21,28,15,31,28,28,30,28,31,25,29,27,27,25,20,35,38,26,51,38,27,51,22
,CHULA VISTA,44,64,42,36,44,54,41,40,65,24,21,22,25,25,23,23,24,20,19,16,33,61,27,28,34,65,08
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,23,32,38,43,35,28,56,62,71,70,42,27,27,29,23,18,20,16,15,17,14,15,20,28,32,71,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,39,19,30,46,49,47,49,49,58,51,31,21,26,22,22,15,16,11,8,6,7,4,9,52,29,58,08
,OTAY MESA DVN,29,62,58,50,49,22,41,34,33,35,16,14,13,15,14,12,11,12,13,14,16,27,50,32,28,62,01
,PENDLETON,35,48,46,30,55,36,22,30,29,13,13,15,16,16,13,15,13,15,23,30,31,56,42,21,28,56,21
14 VWSP MPH,ALPINE,.8,1.0,1.9,1.2,.6,.2,.4,.7,3.1,3.4,4.3,5.1,4.9,5.6,5.2,5.4,4.6,3.1,1.9,1.0,.2,.5,.2,.3,2.3,5.6,13
,CHULA VISTA,.7,.6,1.1,1.2,1.5,.9,1.0,1.8,1.6,4.5,6.0,6.9,6.2,5.6,6.6,6.3,4.8,5.0,3.9,4.2,2.8,1.1,2.2,2.1,3.3,6.9,11
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.4,1.1,1.2,.8,.8,1.4,.9,.6,.8,1.0,3.4,6.1,5.8,5.6,6.3,7.0,5.6,5.8,5.0,3.4,3.1,2.9,2.2,2.0,3.1,7.0,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.4,2.1,1.8,1.4,.8,1.3,1.6,.5,.4,2.8,5.4,7.0,6.0,7.3,6.7,7.4,6.4,6.3,5.7,5.0,3.3,3.4,3.4,.7,3.6,7.4,15
,OTAY MESA DVN,1.1,1.6,1.5,2.7,.8,1.5,1.7,2.5,2.1,3.0,7.0,8.5,8.6,7.6,8.7,8.4,8.5,7.3,4.9,4.0,3.3,2.2,.9,.5,4.1,8.7,14
,PENDLETON,2.1,1.8,1.6,2.1,1.5,.6,1.5,1.8,3.7,5.3,6.3,6.0,5.9,5.2,5.9,5.8,5.4,4.5,3.1,2.3,1.3,1.2,1.8,3.8,3.4,6.3,10
15 SWSP MPH,ALPINE,.9,1.1,2.0,1.3,.7,.2,.4,1.2,3.5,3.8,5.0,5.8,5.7,6.2,5.9,5.9,5.1,3.5,2.0,1.2,.4,.6,.3,1.0,2.7,6.2,13
,CHULA VISTA,1.7,1.4,1.8,1.5,1.9,1.7,1.5,2.2,2.8,4.9,6.4,7.4,6.8,6.1,7.1,6.8,5.3,5.3,4.1,4.4,3.1,1.6,2.6,2.4,3.8,7.4,11
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.5,1.5,1.7,1.2,1.9,1.9,1.4,1.3,1.7,2.6,4.4,6.8,6.6,6.3,6.9,7.4,5.9,6.0,5.2,3.5,3.3,3.0,2.4,2.2,3.6,7.4,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
