Current Date:,2/6/2019,11:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8 Hour Rolling Average Report,,,,,,,,,,,,,,,,,,,,
2/5/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total,,
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.04,.039,.04,.04,.041,.042,.042,.043,.044,.045,.045,.045,.044,.043,.042,.041,.04,.039,.038,.038,.037,.037,.037,.037,0.04,0.045,09
,CHULA VISTA,.027,.026,.028,.03,.033,.035,.039,.043,.044,.045,.044,.043,.042,.041,.04,.039,.039,.039,.039,.039,.04,.038,.035,.031,0.037,0.045,09
,EL CAJON LES,,,,.037,.038,.039,.04,.041,.043,.044,.043,.042,.04,.036,.033,.032,.028,.025,.023,.021,.02,,,,0.034,0.044,09
,KEARNY MESA,.025,.026,.027,.03,.032,.035,.04,.042,.044,.043,.043,.041,.04,.038,.037,.036,.036,.036,.036,.037,.037,.037,.034,.028,0.035,0.044,08
,OTAY MESA DVN,.032,.03,.03,.032,.032,.032,.034,.035,.038,.041,.041,.04,.04,.039,.038,.037,.036,.035,.035,.035,.034,.035,.035,.035,0.035,0.041,09
,PENDLETON,.038,.037,.037,.037,.037,.037,.038,.04,.042,.043,.043,.043,.043,.043,.043,.042,.042,.042,.041,.04,.038,.035,.031,.027,0.039,0.043,09
