Current Date:,1/29/2019,11:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8 Hour Rolling Average Report,,,,,,,,,,,,,,,,,,,,
1/28/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total,,
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.047,.043,.04,.041,.041,.041,.042,.043,.045,.047,.048,.047,.046,.045,.044,.043,.041,.04,.041,.041,.042,.041,.04,.038,0.042,0.048,10
,CHULA VISTA,.015,.013,.012,.014,.015,.016,.021,.025,.03,.034,.036,.036,.036,.032,.026,.021,.018,.015,.011,.01,.007,.007,.007,.006,0.019,0.036,10
,EL CAJON LES,,,,.007,.011,.016,.023,.029,.035,.039,.042,.044,.041,.037,.03,.024,.018,.013,.01,.006,.005,,,,0.023,0.044,11
,KEARNY MESA,.022,.021,.02,.02,.02,,,,,,,.037,.033,.029,.023,.017,.012,.008,.005,.004,.004,.003,.003,.003,0.015,0.037,11
,OTAY MESA DVN,.021,.017,.015,.016,.019,.021,.024,.026,.031,.035,.039,.041,.04,.037,.034,.031,.028,.024,.019,.015,.012,.012,.013,.011,0.024,0.041,11
,PENDLETON,.016,.014,.012,.014,.017,.021,.024,.028,.032,.035,.039,.04,.036,.033,.031,.027,.024,.02,.017,.014,.015,.014,.013,.012,0.022,0.04,11
