Current Date:,1/13/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
1/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.030,.028,.027,.028,.027,.022,.028,.035,.034,.038,.039,.038,.036,.043,.044,.045,.043,.041,.034,.032,.033,.034,.035,.036,.034,.045,15
,CHULA VISTA,.011,.013,C,C,.024,.024,.020,.010,.014,.034,.044,.045,.047,.047,.047,.047,.045,.040,.027,.021,.011,.008,.014,.013,.027,.047,12
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.018,.016,C,C,C,.017,.018,.010,.014,.019,.028,.034,.043,.044,.046,.045,.039,.028,.028,.026,.010,.005,.004,.003,.023,.046,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.019,.014,C,C,.030,.023,.025,.019,.021,.025,.028,.035,.043,.046,.046,.044,.040,.034,.019,.017,.019,.015,.019,.016,.027,.046,13
,OTAY MESA DVN,.006,.004,C,C,.026,.026,.024,.027,.019,.024,.026,.034,.042,.043,.043,.042,.043,.039,.036,.035,.036,.036,.030,.029,.030,.043,13
,PENDLETON,.025,.023,C,C,.038,.033,.028,.025,.023,.030,.044,.045,.046,.045,.046,.045,.046,.042,.028,.018,.022,.021,.019,.019,.032,.046,12
02 NOX PPM,ALPINE,.005,.005,.006,.006,.006,.006,.004,.003,.004,.002,.001,.002,.005,.002,.002,.003,.003,.004,.007,.007,.005,.003,.003,.002,.004,.007,18
,CARMEL MT RCH,.009,.016,C,C,C,.007,.008,.034,.021,.005,.025,.034,.026,.013,.013,.015,.019,.019,.019,.029,.014,.028,.030,.025,.019,.034,07
,CHULA VISTA,.022,.017,C,C,.009,.008,.010,.021,.021,.009,.004,.004,.003,.003,.003,.003,.004,.005,.012,.015,.023,.022,.014,.013,.011,.023,20
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.008,.010,C,C,C,.006,.006,.021,.014,.015,.008,.008,.004,.005,.004,.003,.008,.014,.012,.011,.021,.020,.028,.018,.012,.028,22
