Current Date:,11/13/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
11/12/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.042,.046,C,C,.044,.040,.042,.041,.038,.043,M,M,M,M,M,M,M,.047,.046,.049,.048,.049,.048,.050,.044,.050,23
,CHULA VISTA,.006,.008,C,C,.015,.005,.002,.009,.015,.021,.025,.030,.048,.056,.060,.061,.059,.049,.043,.027,.022,.017,.016,.029,.028,.061,15
,DOWNTOWN SES,.011,.029,C,C,.031,.029,.025,.019,.018,.021,.028,.034,.042,.050,.056,.054,.052,.048,.049,.053,.052,.052,.049,.046,.038,.056,14
,EL CAJON LES,.008,.005,C,C,C,.001,.001,.004,.012,.020,.026,.030,.043,.051,.052,.052,.042,.037,C,C,.010,.013,.006,.009,.022,.052,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.007,.003,C,C,.036,.030,.021,.022,.025,.025,.037,.044,.048,.054,.056,.058,.055,.046,.040,.046,.054,.054,.050,.037,.038,.058,15
,OTAY MESA DVN,M,C,C,C,M,M,M,M,.007,.014,.030,.037,.035,.044,.053,.055,.053,.050,.044,.037,.026,.030,.026,.017,.034,.055,15
,PENDLETON,.018,.017,C,C,.012,.009,.010,.013,.013,.026,.034,.037,.041,.047,.049,.054,.060,.055,.055,.053,.044,.043,.042,.042,.035,.060,16
02 NOX PPM,ALPINE,.001,.001,C,C,.001,.005,.002,.003,.009,.003,M,M,M,M,M,M,M,.012,.010,.007,.004,.002,.003,.002,.004,.012,17
,CARMEL MT RCH,.035,.035,C,C,.025,.026,.049,.050,.084,.065,.050,.039,.031,.035,.032,.032,.034,.035,.032,.028,.024,.024,.019,.016,.036,.084,08
,CHULA VISTA,.022,.017,C,C,.011,.022,.047,.041,.027,.023,.027,.028,.011,.009,.011,.011,.012,.017,.014,.020,.021,.023,.028,.015,.021,.047,06
,DOWNTOWN SES,.021,.011,C,C,.009,.009,.012,.017,.022,.026,.020,.021,.023,.019,.018,.020,.019,.018,.013,.011,.010,.009,.010,.011,.016,.026,09
,EL CAJON LES,.012,.014,C,C,C,.019,.040,.036,.033,.028,.025,.033,.016,.009,.013,.014,.024,.023,C,C,.030,.024,.025,.020,.023,.040,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
