Current Date:,9/12/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
9/11/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.026,.024,C,C,.016,.022,.022,M,M,M,M,M,M,M,M,.061,.056,.048,.039,.033,.027,.024,.019,.027,.031,.061,15
,CHULA VISTA,.031,.029,C,C,.034,.035,.035,.035,.037,.039,.046,.049,.046,.044,.041,.039,.036,.035,.033,.029,.031,.029,.018,.016,.034,.049,11
,DOWNTOWN SES,.033,.035,C,C,.040,.039,.034,.038,.040,.040,.045,.048,.045,.043,.040,.038,.038,.035,.033,.033,.032,.029,.026,.024,.036,.048,11
,EL CAJON LES,.029,.027,C,C,C,.021,.019,.020,.033,.040,.048,.058,.064,.059,.053,.049,.045,.041,.037,.034,.033,.032,.030,.022,.037,.064,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.019,.024,C,C,.034,.035,.034,.038,.037,.043,.048,.050,.046,.043,.042,.040,.038,.036,.032,.032,.030,.028,.019,.013,.034,.050,11
,OTAY MESA DVN,.027,.025,C,C,.021,.025,.026,.027,.032,M,M,.050,.055,.049,.046,.042,.037,.033,.030,.028,.025,.021,.016,.018,.031,.055,12
,PENDLETON,.021,.024,C,C,.027,.026,.031,.033,.036,.036,M,M,M,M,M,.035,.036,.036,.037,.041,.033,.029,.023,.020,.030,.041,19
02 NOX PPM,ALPINE,.002,.002,C,C,.006,.005,.006,M,M,M,M,M,M,M,M,.003,.003,.002,.004,.004,.006,.006,.008,.005,.004,.008,22
,CARMEL MT RCH,.005,.008,C,C,.009,.004,.011,.012,.022,.025,.032,.028,.024,.022,.021,.019,.019,.018,.015,.016,.016,.012,.012,.007,.016,.032,10
,CHULA VISTA,.003,.004,C,C,.004,.005,.006,.006,.006,.008,.006,.003,.002,.002,.002,.002,.002,.003,.004,.006,.004,.005,.012,.013,.005,.013,23
,DOWNTOWN SES,.004,.003,C,C,.002,.004,.009,.006,.006,.009,.009,.005,.005,.004,.005,.005,.005,.006,.005,.005,.006,.007,.008,.008,.006,.009,06
,EL CAJON LES,.003,.003,C,C,C,.005,.005,.005,.004,.004,.004,.005,.004,.004,.004,.003,.003,.003,.003,.004,.003,.004,.004,.004,.004,.005,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.008,.008,C,C,.005,.006,.007,.004,.006,.004,.005,.006,.003,.003,.003,.003,.003,.003,.003,.004,.004,.005,.011,.011,.005,.011,22
,OTAY MESA DVN,.006,.007,C,C,.016,.013,.012,.013,.009,M,M,.011,.004,.004,.003,.003,.003,.003,.003,.003,.005,.006,.007,.005,.007,.016,04
,PENDLETON,.004,.005,C,C,.008,.009,.007,.006,.004,.015,M,M,M,M,M,.001,.000,.000,.000,.000,.008,.010,.009,.007,.005,.015,09
03 NO2 PPM,ALPINE,.002,.003,C,C,.005,.004,.005,M,M,M,M,M,M,M,M,.003,.003,.002,.004,.005,.006,.006,.008,.005,.004,.008,22
,CARMEL MT RCH,.004,.007,C,C,.007,.004,.008,.008,.013,.015,.019,.017,.014,.012,.011,.010,.010,.010,.009,.010,.010,.008,.009,.007,.010,.019,10
,CHULA VISTA,.003,.005,C,C,.004,.005,.006,.006,.005,.006,.005,.003,.002,.001,.002,.002,.002,.002,.004,.006,.004,.005,.012,.013,.005,.013,23
,DOWNTOWN SES,.004,.003,C,C,.002,.004,.008,.006,.004,.007,.007,.004,.004,.003,.003,.004,.004,.006,.005,.005,.006,.007,.008,.008,.005,.008,06
,EL CAJON LES,.003,.003,C,C,C,.004,.005,.004,.003,.003,.004,.004,.004,.003,.003,.002,.002,.002,.003,.003,.003,.004,.004,.004,.003,.005,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.008,.009,C,C,.005,.006,.007,.004,.005,.004,.005,.005,.003,.002,.003,.002,.003,.003,.003,.004,.004,.005,.010,.011,.005,.011,23
,OTAY MESA DVN,.005,.006,C,C,.010,.009,.010,.009,.006,M,M,.008,.004,.003,.002,.002,.002,.002,.002,.002,.004,.006,.006,.004,.005,.010,04
,PENDLETON,.004,.005,C,C,.008,.009,.006,.005,.003,.008,M,M,M,M,M,.000,.000,.000,.000,.001,.009,.010,.009,.007,.005,.010,21
04 NO PPM,ALPINE,.000,.000,C,C,.001,.001,.001,M,M,M,M,M,M,M,M,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,04
,CARMEL MT RCH,.000,.001,C,C,.002,.000,.003,.004,.009,.010,.013,.011,.010,.010,.010,.009,.008,.008,.006,.006,.006,.003,.003,.001,.006,.013,10
,CHULA VISTA,.000,.000,C,C,.000,.000,.000,.001,.001,.002,.001,.000,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,09
,DOWNTOWN SES,.000,.000,C,C,.000,.000,.001,.001,.001,.002,.002,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.001,.002,09
,EL CAJON LES,.000,.000,C,C,C,.000,.000,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.000,.000,.001,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.001,.000,.001,08
,OTAY MESA DVN,.001,.001,C,C,.006,.004,.002,.004,.003,M,M,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,.006,04
,PENDLETON,.000,.000,C,C,.000,.000,.001,.001,.001,.007,M,M,M,M,M,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.007,09
06 CO PPM,CARMEL MT RCH,.1,.2,C,C,C,.1,.2,.2,.2,.3,.3,.4,.4,.5,.5,.4,.5,.5,.4,.4,.4,.4,.4,.2,.3,.5,13
10 INTMP °C,ALPINE,25,25,25,25,26,26,25,25,25,24,24,24,24,24,23,24,24,23,24,24,24,25,25,25,25,26,04
