Current Date:,9/26/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
9/25/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.054,.053,C,C,.049,.042,.038,.039,.037,.039,.053,.060,.066,.067,.064,.059,.053,.045,.041,.037,.034,.032,.023,.020,.045,.067,13
,CHULA VISTA,.016,.022,C,C,.021,.019,.019,.025,.037,.040,M,M,M,.042,.044,.042,.039,.037,.034,.031,.031,.031,.025,.027,.030,.044,14
,DOWNTOWN SES,.026,.032,C,C,.038,.029,.025,.031,.041,.042,.042,.042,.041,.040,.043,.041,.043,.041,.042,.041,.039,.039,.034,.037,.037,.043,14
,EL CAJON LES,.023,.018,C,C,C,.022,.022,.028,.032,.038,.047,.050,.051,.049,.048,.046,.044,.040,.035,.036,.036,.036,.033,.030,.036,.051,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.009,.003,C,C,.032,.031,.024,.026,.032,P,.047,.048,.046,.047,.045,.043,.040,.042,.040,.039,.036,.035,.036,.033,.034,.048,11
,OTAY MESA DVN,.026,.014,C,C,.021,.018,.009,.011,.019,.032,.044,.042,.045,.045,.044,.043,.035,.031,.027,.028,.028,.032,.025,.024,.029,.045,12
,PENDLETON,.019,.024,C,C,.011,.010,.026,.032,.036,.039,.041,.040,.041,.039,.039,.041,.039,.037,.038,.035,.033,.022,.026,.027,.031,.041,10
02 NOX PPM,ALPINE,.001,.001,C,C,.001,.007,.010,.009,.010,.011,.010,.008,.004,.004,.004,.002,.003,.003,.005,.006,.006,.005,.006,.006,.006,.011,09
,CARMEL MT RCH,.025,.037,C,C,.019,.009,.014,.041,.052,.040,.034,M,M,.032,.028,.025,.026,.020,.022,.020,.017,.015,.012,.004,.025,.052,08
,CHULA VISTA,.009,.007,C,C,.010,.010,.014,.014,.007,.004,.004,.004,M,.002,.002,.003,.005,.006,.006,.008,.008,.007,.007,.005,.007,.014,06
,DOWNTOWN SES,.010,.004,C,C,.004,.008,.012,.010,.004,.003,.003,.003,.003,.002,.002,.002,.002,.002,.002,.002,.002,.002,.005,.002,.004,.012,06
,EL CAJON LES,.007,.009,C,C,C,.005,.006,.008,.014,.014,.007,.006,.005,.004,.003,.003,.004,.005,.006,.006,.004,.003,.003,.003,.006,.014,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
