Current Date:,4/10/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
4/9/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.033,.035,.035,.036,.036,.035,M,M,M,M,M,M,M,M,M,M,M,.039,.038,.037,.040,.038,.035,.035,.036,.040,20
,CHULA VISTA,.028,.029,C,C,.030,.026,.028,.033,.036,.039,.042,.043,.044,.045,.043,.043,.042,.042,.039,.034,.030,.027,.028,.026,.035,.045,13
,DOWNTOWN SES,.033,.031,C,C,.030,.029,.028,.033,.037,.038,.045,.045,.046,.045,.045,.044,.044,.042,.042,.041,.034,.031,.032,.034,.037,.046,12
,EL CAJON LES,.028,.029,C,C,C,.031,.029,.035,.039,.040,.040,.040,M,.045,.044,.042,.041,.040,.038,.037,.034,.033,.033,.032,.036,.045,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.031,.034,C,C,.029,.024,.028,.031,.038,.037,.035,.041,.045,.045,.044,.042,.041,.040,.040,.037,.032,.033,.035,.032,.036,.045,12
,OTAY MESA DVN,.037,.038,C,C,.039,.038,.032,.037,.037,.039,.036,.040,.042,.043,.043,.042,.039,.038,.036,.036,.034,.036,.035,.034,.037,.043,13
,PENDLETON,.028,.028,C,C,.028,.029,.028,.030,.032,.035,.037,.043,.043,.042,.044,.044,.042,.039,.034,.033,.033,.034,.034,.034,.035,.044,14
02 NOX PPM,ALPINE,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.002,.002,.002,.001,.001,.001,.001,.001,.002,17
,CARMEL MT RCH,.002,.002,C,C,.002,.003,.003,.003,.001,.016,.009,.003,.006,.021,.024,.022,.020,.009,.010,.002,.001,.002,.001,.001,.007,.024,14
,CHULA VISTA,.005,.005,C,C,.005,.007,.010,.007,.007,.005,.004,.002,.002,.002,.002,.002,.002,.001,.002,.004,.006,.007,.006,.006,.005,.010,06
,DOWNTOWN SES,.003,.003,C,C,.004,.006,.007,.006,.005,.006,.002,.002,.001,.003,.002,.003,.001,.001,.002,.002,.004,.005,.005,.004,.004,.007,06
,EL CAJON LES,.001,.000,C,C,C,.002,.002,.001,.000,.001,.003,.003,M,.003,.003,.003,.003,.002,.002,.001,.001,.002,.002,.001,.002,.003,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.002,.002,C,C,.006,.010,.007,.006,.003,.005,.006,.004,.002,.003,.002,.004,.003,.001,.001,.003,.005,.003,.003,.003,.004,.010,05
,OTAY MESA DVN,.004,.003,C,C,.001,.002,.012,.008,.006,.006,.009,.008,.005,.005,.005,.003,.004,.003,.002,.003,.006,.003,.003,.005,.005,.012,06
,PENDLETON,.003,.003,C,C,.004,.005,.007,.006,.006,.005,.004,.003,.002,.002,.001,.001,.001,.003,.005,.004,.004,.004,.003,.003,.004,.007,06
03 NO2 PPM,ALPINE,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.002,.002,.002,.001,.000,.001,.001,.001,.002,17
,CARMEL MT RCH,.002,.001,C,C,.002,.003,.002,.002,.001,.009,.005,.002,.004,.011,.014,.013,.012,.006,.007,.001,.001,.002,.001,.001,.005,.014,14
,CHULA VISTA,.005,.005,C,C,.004,.007,.008,.005,.005,.004,.003,.002,.001,.001,.002,.002,.001,.001,.001,.004,.005,.007,.006,.006,.004,.008,06
,DOWNTOWN SES,.003,.003,C,C,.004,.005,.006,.004,.004,.005,.001,.001,.001,.002,.001,.002,.000,.001,.002,.001,.004,.005,.004,.003,.003,.006,06
,EL CAJON LES,.001,.000,C,C,C,.001,.002,.001,.000,.000,.002,.003,M,.002,.002,.003,.002,.002,.002,.001,.001,.002,.002,.001,.002,.003,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.002,.002,C,C,.006,.009,.006,.004,.003,.004,.005,.003,.002,.002,.002,.003,.003,.001,.001,.003,.005,.003,.003,.003,.003,.009,05
,OTAY MESA DVN,.002,.001,C,C,.001,.001,.006,.004,.004,.004,.007,.006,.004,.004,.004,.003,.003,.003,.002,.003,.006,.003,.002,.003,.003,.007,10
,PENDLETON,.003,.003,C,C,.004,.005,.006,.005,.006,.004,.003,.002,.001,.002,.001,.001,.001,.003,.005,.004,.004,.003,.003,.003,.003,.006,06
04 NO PPM,ALPINE,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.000,.000,.000,.000,.000,.000,.000,.000,.000,17
,CARMEL MT RCH,.000,.000,C,C,.001,.001,.001,.001,.001,.007,.004,.001,.002,.009,.010,.010,.007,.003,.003,.000,.000,.000,.000,.000,.003,.010,14
,CHULA VISTA,.000,.000,C,C,.000,.001,.001,.002,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.001,.002,07
,DOWNTOWN SES,.000,.000,C,C,.000,.001,.001,.002,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.001,.000,.000,.000,.001,.002,07
,EL CAJON LES,.000,.000,C,C,C,.000,.000,.000,.000,.000,.001,.001,M,.001,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,05
,OTAY MESA DVN,.001,.002,C,C,.000,.001,.005,.003,.002,.002,.002,.002,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.002,.001,.005,06
,PENDLETON,.000,.000,C,C,.000,.000,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,06
06 CO PPM,CARMEL MT RCH,.1,.1,C,C,C,.2,.1,.1,.1,.2,.2,.2,.2,.4,.5,.4,.5,.3,.3,.2,.2,.2,.2,.2,.2,.5,14
10 INTMP °C,ALPINE,25,25,25,24,24,24,24,25,26,26,25,25,26,25,25,25,26,26,26,26,26,26,26,26,25,26,08
,CARMEL MT RCH,25,25,25,25,25,25,24,24,25,25,26,26,26,26,25,25,26,26,26,26,26,26,26,26,25,26,10
,CHULA VISTA,22,22,22,22,22,23,23,26,28,27,26,26,26,26,26,26,25,25,25,24,24,24,24,24,25,28,08
,DOWNTOWN SES,25,25,25,25,25,25,25,25,24,24,24,24,24,23,24,24,24,24,24,24,25,25,25,25,24,25,00
,EL CAJON LES,27,27,27,27,27,27,27,27,26,26,26,26,27,26,26,26,26,26,27,27,27,27,27,27,27,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,26,26,26,26,26,26,26,26,26,27,26,M,26,26,26,26,26,26,26,26,26,26,26,26,27,10
,OTAY MESA DVN,25,25,25,25,25,25,24,24,24,24,22,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,00
,PENDLETON,26,26,26,27,26,26,26,26,25,26,26,26,27,26,27,27,27,27,26,26,27,26,26,26,26,27,03
11 PM2.5 µg/M3,ALPINE,3.0,1.4,-2.0,-2.9,.4,1.4,.4,7.1,5.5,1.7,-3.0,-3.3,-1.5,-1.4,1.3,6.1,4.3,2.4,2.7,1.4,1.5,3.0,3.0,2.1,1.4,7.1,07
,DOWNTOWN SES,7.6,6.9,3.8,9.5,5.6,.7,2.5,2.0,1.0,2.0,1.0,1.3,3.8,2.3,1.6,3.8,4.0,3.1,3.7,2.5,2.2,9.6,8.3,6.4,3.9,9.6,21
,EL CAJON LES,6.1,4.3,2.8,1.9,1.9,2.9,5.8,4.4,3.5,.4,2.5,3.9,2.8,2.7,2.3,1.8,1.9,3.2,3.1,5.3,6.4,4.5,3.4,4.4,3.4,6.4,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,3.1,1.6,2.3,1.0,-.7,1.6,1.0,1.2,.8,-.5,-.4,-1.5,2.2,1.1,-1.4,-.6,-.7,.6,1.5,2.8,3.6,3.1,2.0,1.2,1.0,3.6,20
,PENDLETON,.0,-.8,.1,-.1,.0,-.7,-.7,-1.6,.2,.9,2.6,2.4,2.2,1.3,-.3,2.4,.8,-1.3,2.3,1.4,-.1,1.2,.6,1.0,.5,2.6,10
12 VWDR °,ALPINE,129,137,134,133,135,135,137,135,132,160,174,212,163,215,217,204,187,252,201,195,196,173,171,152,0,252,17
,CHULA VISTA,127,123,122,120,129,107,121,127,135,158,170,197,194,201,218,226,217,241,187,145,128,127,136,140,0,241,17
,DOWNTOWN SES,129,112,115,124,132,98,112,120,141,163,185,186,192,197,194,201,217,240,220,163,142,124,119,168,0,240,17
,EL CAJON LES,140,138,139,144,149,131,139,136,125,147,214,174,216,205,185,209,231,221,206,149,133,127,126,125,0,231,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,137,133,117,140,134,113,120,125,140,135,66,194,M,M,209,211,217,230,221,164,115,142,139,105,0,230,17
,OTAY MESA DVN,145,139,144,139,139,141,135,140,137,156,194,196,219,208,211,200,235,245,274,154,137,138,138,139,0,274,18
,PENDLETON,75,62,66,77,81,100,110,118,128,146,138,165,199,196,180,195,239,343,86,70,64,60,81,88,0,343,17
13 SIGTHETA °,ALPINE,13,12,13,13,13,12,12,13,16,18,24,29,40,32,26,22,25,30,22,19,18,15,16,10,19,40,12
,CHULA VISTA,21,14,15,14,34,32,15,15,17,23,29,27,29,35,28,29,20,19,21,14,13,14,12,16,21,35,13
,DOWNTOWN SES,20,16,18,24,30,18,18,22,24,20,17,17,22,19,19,17,21,19,23,21,22,57,60,25,24,60,22
,EL CAJON LES,16,12,10,12,12,16,14,16,17,26,25,30,27,21,23,26,20,19,21,19,16,13,13,12,18,30,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,10,11,10,12,11,9,11,12,12,12,29,34,M,M,19,15,12,13,13,15,16,34,13,35,16,35,23
,OTAY MESA DVN,15,13,14,12,13,12,16,13,16,23,18,31,19,21,20,18,14,13,22,19,10,10,11,12,16,31,11
,PENDLETON,15,19,17,28,16,15,14,13,13,14,16,15,27,16,9,12,22,23,22,19,14,15,13,11,17,28,03
14 VWSP MPH,ALPINE,5.8,7.5,6.9,7.0,7.2,7.4,7.6,8.1,6.6,7.6,4.7,3.8,3.1,3.3,4.2,4.4,3.4,3.6,2.6,3.5,4.6,3.0,2.3,3.8,.0,8.1,07
,CHULA VISTA,3.4,5.5,5.8,6.3,3.7,3.1,6.4,7.8,7.5,5.2,4.7,5.7,5.8,4.9,5.1,6.9,7.8,7.4,3.4,2.9,3.0,3.5,3.9,3.0,.0,7.8,07
,DOWNTOWN SES,4.6,5.4,5.5,3.8,2.8,4.0,4.7,6.1,5.6,6.3,9.2,10.0,8.2,9.5,8.2,9.1,8.7,7.3,3.6,3.0,2.8,1.6,1.2,3.0,.0,10.0,11
,EL CAJON LES,4.2,5.5,6.4,6.3,5.2,3.7,4.8,7.9,8.1,5.0,3.5,3.5,4.4,4.8,4.6,3.8,6.4,6.0,3.0,3.4,3.4,3.5,2.5,2.7,.0,8.1,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,6.4,5.8,6.0,5.2,4.8,5.9,5.4,7.7,9.2,5.9,2.3,3.1,M,M,8.2,8.1,9.5,9.0,5.1,2.6,2.3,3.0,4.1,2.9,.0,9.5,16
,OTAY MESA DVN,6.5,10.3,8.7,10.7,10.5,9.5,7.9,9.6,8.3,5.9,6.3,4.3,6.7,6.9,7.3,6.5,9.5,6.7,2.9,3.4,6.0,4.9,6.7,6.8,.0,10.7,03
,PENDLETON,5.2,5.5,4.6,2.7,6.1,6.7,6.6,8.2,7.9,8.7,8.8,8.6,6.1,5.9,8.1,7.6,4.7,1.6,2.7,2.7,4.5,4.3,4.2,5.6,.0,8.8,10
15 SWSP MPH,ALPINE,5.9,7.6,7.1,7.2,7.4,7.6,7.8,8.3,6.9,8.0,6.0,4.4,4.2,4.1,4.6,4.9,3.7,4.1,3.2,3.7,5.0,3.2,2.5,3.8,5.5,8.3,07
,CHULA VISTA,3.8,5.6,6.0,6.5,5.4,3.9,6.6,8.1,7.9,5.8,5.5,6.6,6.6,5.6,5.7,7.7,8.3,7.8,3.8,3.0,3.1,3.6,4.0,3.1,5.6,8.3,16
,DOWNTOWN SES,5.0,5.6,5.8,4.1,3.2,4.2,5.0,6.5,6.2,6.8,9.6,10.5,8.8,10.0,8.7,9.5,9.3,7.6,3.9,3.2,3.1,2.0,2.2,4.3,6.0,10.5,11
,EL CAJON LES,4.6,5.7,6.5,6.5,5.3,4.0,5.0,8.2,8.5,6.6,3.8,4.0,4.8,5.1,5.0,4.2,6.8,6.3,3.5,3.6,3.6,3.5,2.6,2.8,5.0,8.5,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,6.6,5.9,6.1,5.3,5.1,6.0,5.5,7.9,9.4,6.6,3.7,5.4,M,8.8,8.6,8.5,9.8,9.2,5.3,3.1,2.4,3.4,4.2,3.4,6.1,9.8,16
,OTAY MESA DVN,6.8,10.5,9.0,11.0,10.7,9.7,8.6,9.8,8.8,6.4,7.3,6.0,7.1,7.5,8.0,7.0,9.8,7.2,3.2,4.0,6.1,5.0,6.8,7.0,7.6,11.0,03
,PENDLETON,5.4,5.8,4.9,3.3,6.3,6.9,6.9,8.4,8.1,9.1,9.2,8.9,7.3,6.2,8.2,8.2,5.2,1.9,3.3,2.8,4.6,4.5,4.3,5.7,6.1,9.2,10
16 AMBTEMP °F,ALPINE,44.3,44.1,44.2,44.5,44.6,44.6,45.1,46.0,48.3,50.8,51.2,50.4,51.6,52.1,51.9,50.7,51.0,48.7,47.5,47.4,46.8,46.6,46.8,46.9,47.8,52.1,13
,CARMEL MT RCH,49.7,49.4,49.2,48.8,48.6,48.4,49.5,51.9,54.5,52.8,53.1,55.1,56.1,59.6,58.7,57.6,56.2,53.4,51.8,51.1,51.3,51.6,51.2,50.8,52.5,59.6,13
,CHULA VISTA,51.6,51.8,52.2,51.7,52.0,51.0,51.8,54.4,56.7,58.6,60.1,60.3,61.6,62.6,62.5,61.1,58.3,55.6,54.9,54.9,54.5,54.3,54.0,54.1,55.9,62.6,13
,DOWNTOWN SES,53.0,52.5,52.7,52.4,51.6,51.6,52.1,54.7,56.2,57.4,60.3,60.3,61.1,61.2,60.6,59.4,58.4,55.3,55.3,55.6,55.3,54.3,53.9,54.3,55.8,61.2,13
,EL CAJON LES,50.2,49.2,50.1,50.2,50.0,49.4,50.1,53.5,56.9,56.6,56.3,57.7,59.7,60.0,59.6,60.2,58.2,55.3,53.4,52.7,52.5,52.1,52.0,52.0,54.1,60.2,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,51.7,51.8,51.4,51.0,50.7,50.5,51.8,53.8,55.2,53.3,54.0,57.4,M,M,60.1,58.8,57.4,54.5,53.7,53.4,53.4,53.3,52.8,52.7,53.8,60.1,14
,OTAY MESA DVN,51.0,50.7,51.1,51.4,51.5,51.1,49.8,51.8,53.3,56.7,55.2,58.2,58.1,59.1,59.7,60.0,57.5,54.4,52.8,52.8,52.7,52.6,52.9,52.6,54.0,60.0,15
,PENDLETON,51.7,51.8,51.6,51.0,51.3,51.7,52.4,53.4,53.8,55.1,57.3,59.9,58.3,58.7,57.6,56.3,54.0,53.3,53.1,53.0,52.7,52.3,52.7,53.0,54.0,59.9,11
17 RELHUM %,ALPINE,89,89,89,88,87,88,87,85,80,71,69,74,71,68,71,81,80,83,93,96,97,97,98,98,85,98,22
,EL CAJON LES,86,91,86,84,87,92,91,79,68,67,72,65,59,59,60,58,63,81,93,96,95,95,96,97,80,97,23
,KEARNY MESA,83,84,87,86,92,93,89,84,80,91,91,77,M,M,61,64,71,91,92,92,95,95,96,97,86,97,23
18 PRES mmHg,EL CAJON LES,752,752,752,752,752,752,753,753,753,753,753,752,752,751,751,750,751,751,751,751,751,751,751,751,752,753,06
,KEARNY MESA,753,753,753,752,753,753,753,754,754,754,754,753,M,752,752,752,752,752,752,752,752,752,752,752,753,754,07
19 SOLAR W/M2,EL CAJON LES,2,1,2,1,2,9,101,432,664,245,170,277,310,229,106,166,54,14,1,2,2,2,2,3,117,664,08
,KEARNY MESA,1,1,0,0,0,12,87,279,217,156,124,472,M,859,346,152,48,18,1,0,0,0,0,0,121,859,13
25 NOY,EL CAJON LES,1.60,1.22,1.09,1.18,1.31,C,C,1.36,1.34,1.56,3.27,4.26,M,3.79,3.54,4.08,3.75,2.85,2.80,2.26,2.18,2.28,2.32,1.91,2.37,4.26,11
26 NOY-NO,EL CAJON LES,1.56,1.16,1.03,1.11,1.19,C,C,1.10,1.10,1.35,2.74,3.64,M,3.17,3.11,3.48,3.18,2.66,2.72,2.20,2.13,2.22,2.30,1.90,2.14,3.64,11
27 NO Trace,EL CAJON LES,.03,.06,.05,.06,.12,C,C,.26,.24,.20,.52,.61,M,.62,.43,.59,.56,.19,.08,.06,.04,.06,.01,.01,.22,.62,13
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,.0,.0,M,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,00
29 CO Tr PPB,EL CAJON LES,156.0,148.7,C,C,C,150.5,162.0,151.8,147.6,154.8,180.0,159.4,M,154.7,172.9,175.1,160.3,157.5,158.4,174.7,179.6,167.6,161.2,160.3,161.6,180.0,10
BCarbon ug/m3,DOWNTOWN SES,.39,.57,1.07,.77,.28,.25,.26,.27,.19,.31,.07,.08,.05,.09,.08,.13,.08,.09,.14,.07,.23,.43,.34,.29,.27,1.07,02
RAINFALL,EL CAJON LES,.04,.00,.00,.00,.03,.07,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.01,.01,.02,.02,.03,.04,.07,.01,.07,05
