Current Date:,4/16/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
4/15/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.048,.048,C,C,.048,.041,M,M,M,M,M,M,M,M,M,M,M,.061,.059,.056,.057,.059,.059,.060,.054,.061,17
,CHULA VISTA,.013,.009,C,C,.015,.023,.021,.022,.027,.034,.047,.051,.056,.059,.057,.054,.052,.050,.048,.046,.042,.029,.023,.015,.036,.059,13
,DOWNTOWN SES,.009,.011,C,C,.008,.005,.012,.022,.031,.030,.041,.050,.054,.054,.047,.044,.052,.059,.062,.051,.034,.024,.027,.025,.034,.062,18
,EL CAJON LES,.009,.005,C,C,C,.004,.005,.021,.027,.042,.051,.054,.056,M,.060,.063,.059,.058,.056,.041,.030,.026,.023,.032,.036,.063,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.026,.021,C,C,.021,.017,.022,.029,.033,.044,.043,.051,.056,.056,.061,.060,.063,.061,.054,.043,.026,.037,.037,.036,.040,.063,16
,OTAY MESA DVN,.017,.019,C,C,.017,.013,.009,.016,.027,.035,.049,.056,.058,.060,.059,.059,.056,.054,.050,.044,.038,.036,.035,.036,.038,.060,13
,PENDLETON,.012,.014,C,C,.011,.012,.019,.022,.027,.029,.036,.041,.045,.046,.048,.049,.049,.053,.055,.053,.036,.031,.034,.028,.034,.055,18
02 NOX PPM,ALPINE,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,.002,.003,.004,.002,.001,.001,.001,.002,.004,19
,CARMEL MT RCH,.013,.022,C,C,.040,.075,.081,.026,.017,.029,.026,.023,.017,.021,.021,.017,.017,.015,.017,.027,.030,.010,.006,.010,.025,.081,06
,CHULA VISTA,.010,.010,C,C,.010,.010,.017,.015,.015,.018,.012,.008,.005,.005,.005,.007,.008,.009,.007,.006,.005,.011,.013,.015,.010,.018,09
,DOWNTOWN SES,.016,.014,C,C,.020,.034,.029,.018,.014,.031,.018,.010,.009,.009,.018,.025,.012,.005,.005,.011,.016,.021,.013,.013,.016,.034,05
,EL CAJON LES,.008,.008,C,C,C,.020,.036,.020,.018,.008,.004,.004,.009,M,.003,.003,.003,.005,.009,.011,.012,.010,.009,.004,.010,.036,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.005,.004,C,C,.010,.017,.016,.011,.009,.006,.013,.008,.006,.004,.003,.003,.002,.003,.005,.010,.017,.008,.007,.006,.008,.017,05
,OTAY MESA DVN,.016,.013,C,C,.021,.039,.059,.048,.021,.016,.009,.006,.004,.004,.002,.003,.005,.005,.005,.008,.010,.010,.011,.010,.015,.059,06
,PENDLETON,.007,.006,C,C,.016,.019,.010,.010,.008,.011,.007,.007,.005,.004,.002,.002,.002,.001,.002,.003,.014,.015,.007,.007,.008,.019,05
03 NO2 PPM,ALPINE,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,.002,.003,.003,.002,.002,.001,.001,.002,.003,18
,CARMEL MT RCH,.012,.018,C,C,.026,.031,.032,.014,.011,.017,.015,.013,.010,.013,.013,.010,.012,.011,.014,.024,.028,.010,.006,.010,.016,.032,06
,CHULA VISTA,.009,.010,C,C,.010,.009,.012,.010,.010,.013,.009,.006,.004,.004,.004,.005,.007,.008,.006,.006,.005,.011,.013,.015,.008,.015,23
,DOWNTOWN SES,.015,.013,C,C,.016,.022,.018,.012,.009,.020,.013,.008,.007,.007,.014,.019,.010,.005,.005,.011,.016,.020,.013,.012,.013,.022,05
,EL CAJON LES,.008,.008,C,C,C,.014,.016,.012,.012,.006,.003,.004,.007,M,.002,.002,.003,.005,.008,.011,.012,.010,.009,.004,.008,.016,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.005,.004,C,C,.009,.015,.012,.008,.006,.005,.010,.006,.005,.004,.003,.002,.002,.003,.005,.010,.017,.007,.007,.006,.007,.017,20
,OTAY MESA DVN,.013,.013,C,C,.016,.020,.029,.024,.014,.011,.007,.005,.004,.003,.002,.002,.004,.005,.005,.008,.009,.010,.011,.009,.010,.029,06
,PENDLETON,.006,.006,C,C,.014,.014,.008,.006,.005,.007,.005,.005,.003,.003,.002,.002,.002,.001,.002,.003,.014,.014,.007,.007,.006,.014,04
04 NO PPM,ALPINE,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,.000,.000,.000,.000,.000,.000,.000,.000,.000,17
,CARMEL MT RCH,.001,.004,C,C,.014,.043,.049,.011,.006,.012,.011,.010,.006,.008,.008,.007,.005,.004,.003,.002,.002,.000,.000,.000,.009,.049,06
,CHULA VISTA,.000,.001,C,C,.001,.001,.004,.005,.004,.005,.003,.002,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.001,.002,.005,07
,DOWNTOWN SES,.001,.001,C,C,.003,.012,.012,.006,.004,.011,.005,.002,.002,.002,.005,.006,.002,.001,.000,.000,.000,.001,.000,.001,.004,.012,05
,EL CAJON LES,.000,.000,C,C,C,.006,.020,.008,.006,.002,.001,.001,.002,M,.001,.000,.001,.001,.000,.000,.000,.000,.000,.000,.002,.020,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.002,.004,.003,.003,.001,.003,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.004,06
,OTAY MESA DVN,.002,.000,C,C,.006,.019,.030,.024,.007,.005,.002,.001,.001,.001,.000,.001,.001,.000,.000,.001,.001,.001,.000,.000,.005,.030,06
,PENDLETON,.000,.000,C,C,.002,.004,.003,.004,.003,.004,.002,.002,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.000,.000,.001,.004,05
06 CO PPM,CARMEL MT RCH,.4,.3,C,C,C,1.1,1.1,.3,.3,.4,.4,.4,.4,.5,.5,.4,.4,.5,.5,.6,.6,.3,.2,.3,.5,1.1,05
10 INTMP °C,ALPINE,26,26,27,27,27,27,27,26,25,24,24,24,24,24,24,25,25,24,24,25,25,26,26,26,25,27,02
,CARMEL MT RCH,26,26,26,27,27,27,26,26,25,25,25,24,24,24,24,24,24,24,25,25,26,26,26,26,25,27,03
,CHULA VISTA,25,24,24,24,23,23,23,24,24,26,26,25,26,25,25,25,25,25,25,25,26,26,24,24,25,26,09
,DOWNTOWN SES,24,24,24,24,24,25,25,24,24,23,23,23,23,23,23,22,23,23,23,23,24,24,24,24,24,25,05
,EL CAJON LES,27,27,27,27,27,28,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,26,28,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,00
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,24,26,26,25,25,25,25,25,25,25,25,26,26,26,26,26,00
,PENDLETON,27,27,27,27,26,26,26,26,25,24,24,24,24,24,25,25,25,25,26,26,26,26,26,27,26,27,00
11 PM2.5 µg/M3,ALPINE,7.0,4.1,5.6,6.1,4.7,3.5,3.2,1.6,-4.1,-3.8,.3,2.0,3.1,4.7,6.3,4.2,1.8,2.3,3.6,5.7,8.2,8.3,10.1,8.4,4.0,10.1,22
,DOWNTOWN SES,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,EL CAJON LES,14.9,12.9,9.4,9.6,6.9,7.4,6.0,3.9,6.1,M,M,3.2,4.8,8.5,5.3,5.7,8.9,6.6,5.5,14.2,12.5,15.4,13.2,8.4,8.6,15.4,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,14.7,20.1,26.3,12.5,24.4,20.5,25.4,19.4,14.1,8.8,7.1,4.9,3.7,3.2,4.7,4.4,4.5,3.0,5.2,8.2,14.8,10.7,13.8,10.4,11.8,26.3,02
,PENDLETON,9.9,10.0,6.1,3.4,4.9,3.4,.8,3.3,4.5,6.0,6.8,6.5,7.5,8.7,12.2,9.0,6.5,8.7,6.3,7.7,11.9,10.6,9.0,9.1,7.2,12.2,14
12 VWDR °,ALPINE,97,23,86,83,85,104,94,109,264,286,259,255,259,280,279,273,277,273,326,52,73,72,97,91,0,326,18
,CHULA VISTA,105,26,103,88,104,50,98,9,9,261,253,254,254,258,251,256,261,260,240,227,203,120,105,25,0,261,09
,DOWNTOWN SES,5,50,46,31,352,38,330,295,117,231,208,219,269,295,281,276,274,289,318,325,100,96,92,81,0,352,04
,EL CAJON LES,100,108,96,130,118,89,236,291,301,245,265,233,235,261,267,274,247,266,310,225,84,106,89,83,0,310,18
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
