Current Date:,4/21/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
4/20/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.036,.037,C,C,.033,.031,.032,.035,M,M,M,M,M,M,M,M,.042,.041,.039,.038,.037,.038,.036,.036,.036,.042,16
,CHULA VISTA,.034,.033,C,C,.030,.029,.026,.029,.035,.038,.040,.040,.041,.041,.040,.039,.038,.038,.037,.038,.038,.036,.036,.039,.036,.041,12
,DOWNTOWN SES,.041,.040,C,C,.032,.030,.028,.035,.040,.038,.041,.040,.040,.036,.030,.031,.034,.029,.027,.038,.040,.038,.035,.032,.035,.041,00
,EL CAJON LES,.031,.031,C,C,C,.034,.033,.036,.039,M,.043,.043,.044,.044,.042,.042,.041,.039,.038,.038,.039,.037,.037,.035,.038,.044,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.034,.034,C,C,.032,.028,.033,.037,.040,.042,.042,.042,.043,.043,.041,.041,.040,.038,.039,.037,.036,.035,.034,.032,.037,.043,12
,OTAY MESA DVN,.032,.028,C,C,.026,.028,.032,.034,.035,.037,.042,.044,.044,.044,.042,.040,.039,.037,.038,.038,.037,.035,.033,.033,.036,.044,11
,PENDLETON,.028,.023,C,C,.028,.026,.030,.033,.038,.040,.041,.041,.036,.041,.041,.039,.038,.038,.038,.038,.035,.038,.036,.038,.035,.041,10
02 NOX PPM,ALPINE,.001,.001,C,C,.002,.003,.003,.001,M,M,M,M,M,M,M,M,.002,.002,.002,.002,.002,.001,.001,.001,.002,.003,05
,CARMEL MT RCH,.007,.009,C,C,.017,.031,.028,.025,.021,.016,.018,.015,.017,.016,M,.015,.015,.012,.010,.009,.006,.006,.006,.003,.014,.031,05
,CHULA VISTA,.003,.003,C,C,.005,.006,.008,.008,.007,.005,.004,.007,.003,.002,.002,.002,.003,.002,.002,.002,.002,.002,.003,.002,.004,.008,06
,DOWNTOWN SES,.001,.002,C,C,.004,.007,.009,.006,.003,.007,.005,.007,.009,.013,.017,.014,.008,.014,.015,.004,.001,.003,.006,.010,.008,.017,14
,EL CAJON LES,.002,.001,C,C,C,.004,.004,.003,.002,M,M,M,M,M,.002,.002,.002,.002,.002,.002,.002,.002,.002,.001,.002,.004,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.001,.001,C,C,.003,.006,.005,.003,.003,.002,.002,.002,.002,.002,.001,.001,.002,.002,.001,.001,.001,.001,.001,.001,.002,.006,05
,OTAY MESA DVN,.003,.002,C,C,.005,.002,.003,.002,.004,.005,.003,.002,.002,.002,.001,.002,.002,.003,.001,.001,.001,.002,.003,.002,.002,.005,04
,PENDLETON,.004,.007,C,C,.005,.007,.008,.010,.003,.003,.002,.000,.020,.002,.001,.001,.000,.000,.000,.000,.004,.001,.002,.001,.004,.020,12
03 NO2 PPM,ALPINE,.001,.001,C,C,.001,.002,.002,.001,M,M,M,M,M,M,M,M,.001,.002,.002,.002,.001,.001,.001,.001,.001,.002,05
,CARMEL MT RCH,.004,.005,C,C,.010,.016,.016,.013,.010,.008,.009,.007,.008,.008,M,.007,.007,.006,.006,.005,.004,.004,.004,.003,.008,.016,05
,CHULA VISTA,.003,.003,C,C,.004,.005,.007,.007,.006,.004,.002,.004,.002,.001,.001,.002,.002,.001,.002,.002,.001,.002,.002,.002,.003,.007,06
,DOWNTOWN SES,.001,.002,C,C,.004,.006,.008,.005,.003,.005,.004,.005,.006,.009,.013,.011,.007,.012,.014,.004,.001,.003,.006,.010,.006,.014,18
,EL CAJON LES,.002,.002,C,C,C,.004,.003,.002,.002,M,M,M,M,M,.001,.002,.002,.002,.001,.002,.001,.002,.001,.001,.002,.004,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.001,.001,C,C,.003,.006,.004,.003,.002,.002,.002,.001,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,.006,05
,OTAY MESA DVN,.002,.001,C,C,.004,.002,.002,.002,.003,.004,.002,.001,.001,.001,.001,.001,.002,.002,.001,.001,.001,.001,.003,.002,.002,.004,04
,PENDLETON,.004,.007,C,C,.005,.007,.006,.006,.002,.002,.001,.000,.008,.001,.001,.001,.000,.000,.000,.000,.004,.001,.002,.001,.003,.008,12
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.001,.001,M,M,M,M,M,M,M,M,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,06
,CARMEL MT RCH,.002,.003,C,C,.007,.015,.013,.012,.010,.008,.008,.007,.009,.008,M,.008,.008,.006,.004,.004,.002,.003,.002,.001,.007,.015,05
,CHULA VISTA,.000,.000,C,C,.001,.001,.001,.002,.001,.002,.001,.003,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.001,.003,11
,DOWNTOWN SES,.000,.000,C,C,.000,.000,.001,.001,.001,.002,.001,.002,.003,.004,.004,.003,.001,.002,.001,.000,.000,.000,.000,.000,.001,.004,13
,EL CAJON LES,.000,.000,C,C,C,.000,.000,.001,.000,M,M,M,M,M,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,06
,OTAY MESA DVN,.000,.000,C,C,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,04
,PENDLETON,.000,.000,C,C,.000,.000,.002,.004,.001,.001,.001,.000,.013,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.013,12
06 CO PPM,CARMEL MT RCH,.2,.3,C,C,C,.6,.5,.4,.3,.3,.3,.3,.3,.3,M,.4,.4,.3,.3,.3,.3,.2,.3,.2,.3,.6,05
10 INTMP °C,ALPINE,26,26,26,27,27,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,27,03
,CARMEL MT RCH,25,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,01
,CHULA VISTA,25,25,25,26,26,25,25,25,23,25,26,26,26,25,25,25,25,26,26,24,25,25,25,25,25,26,03
,DOWNTOWN SES,24,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,00
,EL CAJON LES,26,27,27,27,26,27,27,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,26,27,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,00
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,00
,PENDLETON,26,26,26,26,26,26,26,25,25,25,25,24,24,24,25,25,25,25,26,26,26,26,26,26,25,26,00
11 PM2.5 µg/M3,ALPINE,3.7,5.5,3.1,1.5,2.6,1.6,.6,3.1,2.9,2.3,1.3,3.4,6.8,6.9,5.5,7.3,5.4,3.8,7.4,7.5,7.3,10.7,8.0,5.0,4.7,10.7,21
,DOWNTOWN SES,4.7,6.7,7.9,5.0,5.6,4.7,7.7,6.4,6.2,6.6,7.5,8.6,6.9,4.4,5.8,6.0,4.1,3.8,4.8,9.1,6.0,7.2,5.0,4.3,6.0,9.1,19
