Current Date:,12/9/2020,6:38 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
12/8/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.040,.039,C,C,.039,.039,.038,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.039,.040,00
,CHULA VISTA,.025,.027,.040,.040,.040,.038,.037,.037,.036,.037,.039,.041,.042,.043,.041,.031,.038,.044,.038,.023,.025,.030,.020,.015,.034,.044,17
,DOWNTOWN SES,.003,.008,C,C,.029,.015,.005,.005,M,M,.012,M,M,M,.027,.026,.030,.041,.034,.017,.007,.016,.010,.006,.017,.041,17
,EL CAJON LES,.002,.002,C,C,C,.039,.037,.037,.035,.039,.036,.034,.042,.042,.044,.043,.042,.035,.043,.031,.024,.017,.015,.013,.031,.044,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.037,.039,C,C,.039,.038,.025,.022,.031,.036,.036,.034,.043,.044,.044,.041,.035,.023,.026,.024,.028,.028,.035,.029,.033,.044,13
,OTAY MESA DVN,.042,.042,C,C,.040,.040,.039,.039,.039,.039,.039,.040,.040,.041,.042,.040,.039,.037,.034,.037,.042,.037,.032,.025,.038,.042,00
,PENDLETON,.020,.024,C,C,.034,.027,.024,.021,.027,.018,.023,.029,.040,M,.041,.038,.023,.012,.007,.033,.026,.026,.022,.024,.025,.041,14
02 NOX PPM,ALPINE,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,.002,.003,.002,.005,.006,.004,.004,.004,.004,.006,20
,CARMEL MT RCH,.016,.009,C,C,.003,.005,.002,.008,.005,.003,.003,.003,.003,.004,.003,.003,.007,.008,.034,.028,.018,.017,.056,.045,.013,.056,22
,CHULA VISTA,.013,.013,.002,.002,.002,.003,.004,.005,.006,.006,.004,.003,.002,.002,.005,.019,.011,.008,.010,.026,.021,.015,.020,.020,.009,.026,19
,DOWNTOWN SES,.043,.032,C,C,.010,.023,.045,.055,M,M,.047,M,M,M,.020,.022,.017,.007,.013,.028,.037,.029,.035,.038,.029,.055,07
,EL CAJON LES,.047,.043,C,C,C,.001,.003,.003,.006,.002,.006,.010,.002,.002,.002,.001,.002,.008,.010,.014,.017,.021,.019,.019,.011,.047,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.004,.004,C,C,.003,.004,.018,.022,.012,.009,.009,.014,.003,.003,.003,.006,.010,.023,.022,.024,.019,.017,.011,.016,.012,.024,19
,OTAY MESA DVN,.002,.001,C,C,.001,.001,.001,.002,.003,.004,.003,.004,.006,.004,.004,.007,.005,.005,.009,.007,.003,.004,.006,.013,.004,.013,23
,PENDLETON,.015,.010,C,C,.006,.011,.015,.022,.016,.028,.020,.022,.004,M,.004,.007,.024,.034,.044,.010,.018,.019,.020,.014,.017,.044,18
03 NO2 PPM,ALPINE,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,.002,.002,.002,.004,.006,.004,.004,.004,.004,.006,20
,CARMEL MT RCH,.013,.008,C,C,.003,.005,.002,.006,.004,.002,.003,.002,.003,.003,.003,.003,.006,.007,.024,.024,.017,.016,.041,.038,.011,.041,22
,CHULA VISTA,.013,.013,.003,.002,.002,.003,.004,.004,.005,.005,.003,.003,.002,.002,.005,.017,.011,.008,.010,.024,.021,.015,.020,.020,.009,.024,19
,DOWNTOWN SES,.036,.029,C,C,.010,.021,.032,.033,M,M,.029,M,M,M,.018,.020,.016,.007,.014,.027,.034,.027,.030,.032,.024,.036,00
,EL CAJON LES,.034,.033,C,C,C,.001,.003,.003,.005,.002,.005,.008,.002,.002,.002,.002,.002,.008,.010,.014,.016,.020,.019,.018,.010,.034,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.004,.004,C,C,.003,.004,.016,.020,.010,.007,.008,.011,.003,.003,.003,.005,.010,.023,.022,.024,.020,.018,.011,.016,.011,.024,19
,OTAY MESA DVN,.001,.001,C,C,.001,.001,.001,.002,.001,.003,.002,.003,.004,.003,.003,.004,.004,.005,.007,.007,.004,.004,.005,.013,.004,.013,23
,PENDLETON,.015,.010,C,C,.006,.011,.014,.019,.013,.020,.015,.015,.003,M,.004,.006,.023,.032,.037,.010,.018,.019,.020,.014,.015,.037,18
04 NO PPM,ALPINE,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,.000,.001,.000,.000,.000,.000,.000,.000,.000,.001,17
,CARMEL MT RCH,.003,.000,C,C,.000,.000,.000,.001,.001,.001,.001,.001,.001,.001,.001,.000,.001,.000,.009,.004,.001,.001,.015,.007,.002,.015,22
