Current Date:,12/10/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
12/9/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,.036,.036,.033,.036,.038,.040,.041,.037,.041,23
,CHULA VISTA,.024,.028,.025,.025,.020,.013,.008,.008,.017,.018,.026,.045,.044,.041,.043,.043,.037,.024,.006,.002,.002,.008,.006,.002,.021,.045,11
,DOWNTOWN SES,.018,.029,C,C,.018,.020,.021,M,M,M,M,M,M,M,.044,.043,.035,.025,.009,.006,.005,.003,.003,.002,.018,.044,14
,EL CAJON LES,.013,.009,C,C,C,.002,.002,.003,.007,.014,.026,.042,.043,.046,.045,.045,.039,.027,.018,.009,.007,.004,.006,.003,.019,.046,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.036,.036,C,C,.029,.024,.025,.022,.033,.040,.037,.042,.043,.044,.048,.049,.042,.034,.025,.010,.016,.028,.021,.018,.031,.049,15
,OTAY MESA DVN,.026,.027,C,C,.029,.013,.010,.020,.012,.026,.026,.040,.038,.039,.039,.038,.034,.027,.031,.037,.020,.005,.028,.010,.026,.040,11
,PENDLETON,.023,.029,C,C,.019,.018,.020,.017,.019,.025,.025,.029,.028,.032,.035,.038,.039,.016,.008,.013,.020,.018,.019,.016,.023,.039,16
02 NOX PPM,ALPINE,.004,.003,C,C,.003,.003,.008,.008,.023,.015,.006,.005,.009,M,M,M,M,.017,.015,.017,.010,.007,.006,.005,.009,.023,08
,CARMEL MT RCH,.040,.040,C,C,.054,.076,.089,.090,.074,.033,.036,.032,.025,.031,.035,.044,.039,.038,.041,.039,.027,.054,.032,.030,.045,.090,07
,CHULA VISTA,.015,.011,.012,.012,.012,.023,.039,.048,.035,.048,.047,.012,.004,.003,.003,.004,.007,.015,.040,.063,.050,.029,.029,.047,.025,.063,19
,DOWNTOWN SES,.020,.010,C,C,.020,.015,.017,M,M,M,M,M,M,M,.005,.005,.009,.015,.035,.037,.049,.061,.060,.044,.027,.061,21
,EL CAJON LES,.017,.020,C,C,C,.033,.045,.052,.060,.050,.029,.010,.013,.005,.007,.007,.011,.017,.021,.027,.025,.030,.028,.028,.025,.060,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.008,.007,C,C,.010,.014,.013,.019,.011,.006,.015,.014,.010,.013,.007,.005,.009,.013,.019,.033,.027,.016,.019,.019,.014,.033,19
,OTAY MESA DVN,.013,.009,C,C,.008,.025,.034,.023,.066,.024,.049,.020,.017,.010,.006,.005,.008,.017,.016,.008,.035,.056,.011,.030,.022,.066,08
,PENDLETON,.013,.007,C,C,.014,.014,.012,.019,.019,.014,.015,.012,.009,.010,.009,.007,.009,.038,.055,.036,.023,.021,.020,.018,.018,.055,18
