Current Date:,10/31/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
10/30/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.044,.042,C,C,.042,.040,.039,.035,.039,M,M,M,M,M,M,M,.065,.057,.046,.049,.054,.055,.054,.051,.047,.065,16
,CHULA VISTA,.019,.029,C,C,.013,.008,.011,.009,.016,.030,.045,.055,.065,.075,.071,.068,.058,.051,.036,.024,.006,.002,.003,.008,.031,.075,13
,DOWNTOWN SES,.008,.008,C,C,.010,.006,.006,.012,.020,.022,.031,.054,.061,.072,.073,.061,.058,.050,.046,.038,.036,.019,.006,.010,.032,.073,14
,EL CAJON LES,.014,.012,C,C,C,.002,.003,.006,.012,.029,.042,.053,.056,.059,.064,.068,.060,.054,.043,.034,.023,.017,.015,.017,.032,.068,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.034,.033,C,C,.016,.012,.016,.025,.032,.042,.052,.059,.065,.070,.062,.060,.065,.065,.045,.038,.028,.022,.024,.026,.040,.070,13
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,.048,.057,.062,.067,.064,.065,.059,.042,.036,.044,.030,.009,.014,.045,.067,14
,PENDLETON,.028,.026,C,C,.019,.017,.015,.018,.022,.039,.049,.054,.058,.061,.062,.064,.070,.060,.045,.020,.025,.034,.036,.038,.039,.070,16
02 NOX PPM,ALPINE,.002,.002,C,C,.001,.002,.003,.008,.006,M,M,M,M,M,M,M,.009,.013,.013,.010,.007,.005,.003,.002,.006,.013,17
,CARMEL MT RCH,.023,.022,C,C,.063,.084,.073,.061,.116,.051,.049,.049,.032,.030,.033,.039,.026,.033,.041,.053,.037,.027,.036,.048,.047,.116,08
,CHULA VISTA,.014,.008,C,C,.019,.027,.049,.043,.034,.027,.026,.016,.013,.006,.006,.006,.006,.004,.008,.012,.030,.041,.032,.026,.021,.049,06
,DOWNTOWN SES,.020,.017,C,C,.023,.031,.046,.058,.044,.051,.046,.022,.016,.011,.009,.009,.009,.011,.008,.010,.010,.018,.029,.021,.024,.058,07
,EL CAJON LES,.015,.015,C,C,C,.032,.048,.060,.062,.027,.014,.012,.012,.007,.006,.009,.012,.011,.014,.015,.019,.021,.021,.017,.021,.062,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.012,.011,C,C,.022,.027,.024,.019,.027,.029,.018,.012,.008,.006,.005,.006,.007,.011,.020,.023,.024,.026,.022,.019,.017,.029,09
,OTAY MESA DVN,.036,.032,C,C,.014,.026,M,M,M,.016,M,.015,.008,.006,.005,.006,.006,.007,.017,.020,.010,.022,.049,.040,.019,.049,22
