Current Date:,12/16/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
12/15/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.042,.042,C,C,.038,.036,.037,.033,M,M,M,M,M,M,M,M,M,.035,.037,.031,.025,.032,.035,.036,.035,.042,00
,CHULA VISTA,.037,.028,.022,.010,.010,.016,.013,.012,.021,.035,.037,.036,.037,.039,.040,.039,.037,.031,.013,.008,.011,.015,.019,.019,.024,.040,14
,DOWNTOWN SES,.041,.040,C,C,.017,.013,.007,.010,.016,.032,.037,.035,.038,.039,.039,.039,.038,.030,.028,.015,.008,.013,.015,.017,.025,.041,00
,EL CAJON LES,.007,.010,C,C,C,.001,.002,.003,.007,.018,.036,.038,.038,.039,.039,.038,.034,.027,.015,.007,.005,.006,.009,.006,.018,.039,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.035,.031,C,C,.018,.014,.011,.013,.022,.037,.038,.038,.039,.040,.040,.039,.037,.029,.024,.012,.023,.022,.021,.018,.027,.040,13
,OTAY MESA DVN,.033,.035,C,C,.026,.024,.021,.022,.011,.020,.035,.037,.038,.037,.037,.036,.035,.029,.030,.032,.033,.027,.021,.031,.029,.038,12
,PENDLETON,.041,.034,C,C,.025,.021,.019,.018,.021,.025,.033,.038,.039,.041,.040,.041,.038,.032,.026,.025,.023,.018,.018,.016,.028,.041,00
02 NOX PPM,ALPINE,.001,.001,C,C,.002,.003,.002,.007,M,M,M,M,M,M,M,M,M,.008,.007,.008,.009,.005,.004,.004,.005,.009,20
,CARMEL MT RCH,<,C,C,C,C,<,<,<,<,<,<,<,<,<,<,<,,,,,,,,,,C,C
,CHULA VISTA,.002,.005,.008,.016,.015,.012,.016,.022,.019,.005,.003,.004,.006,.004,.004,.003,.004,.009,.026,.031,.027,.019,.014,.010,.012,.031,19
,DOWNTOWN SES,.000,.000,C,C,.013,.018,.027,.032,.029,.010,.003,.005,.005,.005,.005,.005,.005,.011,.012,.026,.035,.025,.019,.014,.014,.035,20
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.001,.002,C,C,.007,.013,.016,.015,.014,.001,.002,.003,.003,.002,.003,.003,.005,.010,.014,.025,.010,.008,.007,.007,.008,.025,19
,OTAY MESA DVN,.002,.002,C,C,.012,.014,.026,.012,.026,.014,.002,.002,.002,.004,.005,.005,.005,.010,.006,.004,.008,.008,.009,.002,.008,.026,06
,PENDLETON,.002,.006,C,C,.007,.007,.009,.008,.010,.011,.009,.006,.010,.004,.008,.005,.006,.013,.017,.014,.012,.014,.011,.013,.009,.017,18
03 NO2 PPM,ALPINE,.001,.001,C,C,.002,.002,.002,.005,M,M,M,M,M,M,M,M,M,.007,.006,.007,.008,.004,.004,.004,.004,.008,20
,CHULA VISTA,.002,.006,.008,.016,.015,.011,.014,.016,.013,.004,.002,.003,.005,.003,.003,.003,.004,.009,.025,.029,.025,.019,.014,.010,.011,.029,19
,DOWNTOWN SES,.000,-.001,C,C,.012,.016,.021,.021,.017,.006,.001,.004,.003,.003,.003,.003,.004,.010,.011,.022,.029,.023,.018,.013,.011,.029,20
,EL CAJON LES,.016,.012,C,C,C,.015,.015,.015,.018,.013,.004,.003,.004,.003,.003,.005,.008,.013,.023,.026,.024,.019,.014,.013,.013,.026,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.001,.002,C,C,.006,.012,.013,.011,.009,.001,.002,.002,.002,.002,.002,.003,.004,.009,.014,.024,.010,.008,.007,.007,.007,.024,19
,OTAY MESA DVN,.002,.002,C,C,.007,.008,.013,.009,.017,.010,.002,.001,.002,.003,.003,.003,.004,.007,.005,.003,.004,.008,.008,.002,.006,.017,08
,PENDLETON,.001,.006,C,C,.006,.007,.008,.007,.007,.006,.006,.003,.005,.002,.004,.003,.005,.010,.014,.014,.012,.014,.011,.011,.007,.014,18
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.000,.002,M,M,M,M,M,M,M,M,M,.001,.001,.001,.001,.000,.001,.000,.001,.002,07
,CARMEL MT RCH,<,C,C,C,C,<,<,<,<,<,<,<,<,<,<,<,,,,,,,,,,C,C
,CHULA VISTA,.000,.000,.000,.000,.000,.001,.002,.006,.006,.002,.000,.001,.002,.001,.001,.001,.000,.000,.001,.002,.002,.000,.000,.000,.001,.006,07
,DOWNTOWN SES,.000,.000,C,C,.001,.002,.006,.011,.012,.004,.001,.002,.002,.002,.002,.001,.001,.001,.001,.004,.006,.002,.002,.001,.003,.012,08
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.001,.002,.004,.005,.001,.001,.001,.001,.001,.001,.001,.000,.001,.000,.002,.000,.000,.000,.000,.001,.005,08
,OTAY MESA DVN,.000,.000,C,C,.005,.005,.013,.003,.009,.004,.000,.000,.001,.001,.001,.001,.001,.003,.001,.000,.004,.001,.001,.000,.002,.013,06
,PENDLETON,.001,.000,C,C,.001,.001,.001,.002,.004,.004,.004,.003,.005,.001,.004,.002,.001,.003,.004,.000,.000,.000,.001,.002,.002,.005,12
06 CO PPM,CARMEL MT RCH,.3,.3,C,C,C,.3,.3,.3,.3,.3,.4,.5,.4,.5,.6,.5,.4,.5,.6,.6,.9,.6,.6,.8,.5,.9,20
10 INTMP °C,ALPINE,26,26,26,26,26,26,26,26,26,28,23,26,27,27,27,28,27,28,28,28,28,27,27,27,27,28,09
,CARMEL MT RCH,27,27,27,27,27,27,26,26,26,25,25,25,26,26,26,25,25,26,26,26,26,26,26,26,26,27,00
,CHULA VISTA,20,20,19,19,18,19,19,18,18,20,21,23,24,24,25,24,24,22,22,21,20,20,19,19,21,25,14
,DOWNTOWN SES,24,24,24,24,24,24,24,24,24,24,23,22,22,22,22,22,22,23,23,23,24,24,24,24,23,24,00
,EL CAJON LES,25,24,24,24,24,25,24,24,24,25,24,25,24,24,24,24,24,24,24,24,24,24,24,24,24,25,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,24,24,24,24,25,26,26,25,25,25,25,25,26,26,26,25,25,25,25,25,26,10
,OTAY MESA DVN,26,26,26,27,26,27,27,27,27,27,26,26,26,26,25,25,25,25,26,26,26,26,27,27,26,27,03
,PENDLETON,26,26,26,26,26,26,25,25,25,25,24,24,24,24,24,24,25,25,25,25,26,26,26,26,25,26,00
11 PM2.5 µg/M3,ALPINE,-.5,1.5,1.1,2.9,2.7,1.5,1.2,.3,1.1,9.0,-2.6,-.6,5.9,2.5,.8,3.2,2.3,6.4,5.2,3.5,4.0,1.6,.6,1.6,2.3,9.0,09
,DOWNTOWN SES,5.3,5.9,3.7,3.9,4.6,4.1,6.4,6.6,5.6,4.9,3.4,6.0,3.7,1.5,2.6,6.2,4.3,4.9,6.1,12.4,14.6,16.2,16.4,10.1,6.6,16.4,22
,EL CAJON LES,7.3,5.5,3.4,3.4,7.3,6.2,6.4,13.4,8.3,7.2,2.7,-.9,-1.2,-2.5,-1.3,2.6,4.6,6.5,9.9,24.5,31.9,20.3,16.2,9.4,7.9,31.9,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,.6,1.3,1.3,1.9,4.0,1.8,-1.3,-1.3,1.9,2.6,.9,.1,3.3,4.8,3.5,2.2,2.3,1.1,.2,.3,1.3,4.3,5.0,2.0,1.8,5.0,22
,PENDLETON,M,M,M,M,M,M,M,M,M,-4.7,121.2,12.8,35.9,-15.0,-15.0,70.6,7.5,28.6,20.6,115.8,43.1,157.2,41.9,207.0,55.1,207.0,23
12 VWDR °,ALPINE,316,342,350,331,54,82,79,99,140,195,251,277,302,298,302,304,290,312,346,84,101,98,336,5,0,350,02
,CHULA VISTA,312,4,32,76,76,93,89,87,97,79,12,320,284,280,285,288,291,317,7,58,64,57,55,51,0,320,11
,DOWNTOWN SES,317,333,333,69,45,53,49,49,88,86,319,284,301,291,292,295,305,331,348,31,47,37,40,34,0,348,18
,EL CAJON LES,107,83,106,165,271,192,261,222,308,66,297,321,311,305,308,293,294,282,2,118,98,81,80,120,0,321,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,305,304,49,72,95,85,76,91,93,55,336,341,323,308,285,299,301,316,353,39,55,64,55,59,0,353,18
,OTAY MESA DVN,8,356,6,23,62,111,104,81,223,276,311,323,323,324,285,279,294,355,357,28,52,77,40,38,0,357,18
,PENDLETON,310,1,69,55,36,58,56,44,52,69,214,254,263,265,264,272,301,316,341,7,28,37,36,53,0,341,18
