Current Date:,2/26/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
2/25/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.052,.051,C,C,.047,.045,.046,.040,.039,.046,.042,.049,.052,.054,.057,.060,.059,.051,.049,.046,.046,.046,.045,.047,.048,.060,15
,CHULA VISTA,.030,.025,C,C,.023,.020,.011,.016,.024,.030,.041,.041,.041,.048,.053,.048,.044,.044,.039,.035,.025,.017,.006,.010,.030,.053,14
,DOWNTOWN SES,.023,.023,C,C,.019,.014,.007,.012,.025,.027,.024,.034,.045,.050,.049,.047,.051,.049,.047,.039,.036,.032,.014,.010,.030,.051,16
,EL CAJON LES,.025,.020,C,C,C,.010,.006,.008,.016,.022,.037,.047,.051,.053,.055,.057,.053,.048,.043,.031,.020,.017,.016,.016,.031,.057,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.018,.018,C,C,.015,.007,.004,.013,.018,.037,.035,.046,.047,.051,.050,.049,.050,.047,.042,.047,.029,.025,.035,.029,.032,.051,13
,OTAY MESA DVN,.014,.016,C,C,.016,.015,.026,.031,.032,.034,.040,.045,.047,.047,.049,.051,.050,.042,.044,.036,.029,.004,.007,.019,.031,.051,15
,PENDLETON,.025,.020,C,C,.013,.009,.014,.024,.041,.043,.043,.042,.042,.042,.041,.042,.047,.052,.054,.036,.013,.016,.016,.023,.031,.054,18
02 NOX PPM,ALPINE,.002,.002,C,C,.003,.003,.004,.012,.025,.006,.015,.003,.003,.002,.002,.004,.004,.009,.007,.008,.006,.004,.005,.004,.006,.025,08
,CARMEL MT RCH,.015,.008,C,C,.009,.014,.014,.051,.064,.052,.036,.031,.029,.025,.024,.030,.029,.027,.036,.032,.035,.026,.042,.043,.031,.064,08
,CHULA VISTA,.005,.005,C,C,.006,.008,.014,.014,.017,.012,.008,.012,.017,.013,.009,.015,.017,.015,.017,.019,.028,.032,.040,.031,.016,.040,22
,DOWNTOWN SES,.011,.010,C,C,.010,.012,.024,.025,.016,.028,.034,.019,.011,.009,.010,.010,.009,.010,.012,.017,.019,.020,.036,.038,.018,.038,23
,EL CAJON LES,.005,.007,C,C,C,.010,.016,.023,.025,.022,.012,.003,.001,.004,M,M,.007,.010,.012,.018,.022,.023,.021,.018,.014,.025,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.007,.006,C,C,.009,.016,.028,.020,.027,.010,.015,.011,.008,.005,.006,.009,.008,.010,.014,.009,.022,.022,.014,.014,.013,.028,06
,OTAY MESA DVN,.013,.010,C,C,.010,.011,.008,.006,.007,.008,.008,.008,.006,.007,.008,.010,.010,.012,.008,.013,.028,.052,.042,.025,.014,.052,21
