Current Date:,6/21/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
6/20/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.043,C,C,.047,.051,.051,.050,.048,.036,.043,.049,.059,.065,.066,.066,.065,.061,.056,.048,.040,.032,.024,.019,.030,.047,.066,13
,CHULA VISTA,.025,C,C,.024,.023,.022,.023,.025,.035,.039,.040,.041,.042,.042,.041,.039,.039,.034,.034,.034,.033,.033,.032,.032,.033,.042,12
,DOWNTOWN SES,.027,C,C,.027,.025,.022,.025,.026,.033,.038,.039,.040,.041,.041,.039,.041,.039,.032,.034,.032,.032,.031,.031,.032,.033,.041,12
,EL CAJON LES,.019,C,C,C,.020,.020,.021,.022,.028,.033,.044,.051,.053,.051,.054,.048,.047,.041,.033,.029,.027,.026,.024,.023,.034,.054,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.029,C,C,.026,.028,.027,.027,.027,.030,.035,.042,.048,.045,.043,.044,.041,.040,.037,.034,.030,.026,.025,.026,.026,.033,.048,11
,OTAY MESA DVN,.023,C,C,.019,.017,.017,.017,.021,.023,.031,.041,.045,.043,.046,.045,.041,.040,.037,.031,.030,.029,.027,.026,.024,.030,.046,13
,PENDLETON,.027,C,C,.025,.025,.025,.026,.030,.032,.034,.035,.034,.034,.037,.034,.034,.036,.037,.037,.036,.034,.034,.034,.031,.032,.037,13
02 NOX PPM,ALPINE,.004,C,C,.003,.002,.002,.004,.005,.005,.004,.004,.004,.003,.003,.003,.003,.004,.004,.005,.006,.008,.011,.014,.008,.005,.014,22
,CARMEL MT RCH,.008,C,C,.006,.006,.008,.011,.010,.015,.015,.012,.014,.013,.010,.011,.012,.010,.012,.009,.011,.012,,,,.011,.015,08
,CHULA VISTA,.005,C,C,.004,.004,.005,.004,.005,.003,.003,.002,.002,.001,.002,.001,.001,.001,.001,.001,.001,.002,.002,.003,.003,.003,.005,00
,DOWNTOWN SES,.003,C,C,.002,.003,.006,.005,.009,.006,.001,.002,.002,.002,.003,.004,.002,.001,.004,.003,.005,.005,.005,.005,.003,.004,.009,07
