Current Date:,11/26/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
11/25/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.048,.050,C,C,.050,.049,.049,.048,.049,.050,.050,.050,.049,.049,.050,.050,.050,.050,.051,.050,.050,.051,.051,.051,.049,.051,18
,CHULA VISTA,.003,.012,C,C,.024,.023,.018,.013,.019,.034,.033,.035,.048,.048,.047,.047,.041,.041,.039,.026,.024,.023,.024,.022,.029,.048,12
,DOWNTOWN SES,.008,.013,C,C,.012,.016,.015,.013,.018,.019,.025,.033,.046,.050,.047,.046,.044,.043,.041,.033,.033,.026,.023,.017,.028,.050,13
,EL CAJON LES,.003,.005,C,C,C,.016,.014,.023,.023,.041,.047,.046,.046,.046,.046,.046,.044,.030,.024,.028,.026,.017,.013,.021,.028,.047,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.038,.037,C,C,.041,.039,.039,.039,.043,.045,.046,.046,.046,.046,.047,.046,.046,.045,.044,.044,.043,.041,.038,.032,.042,.047,14
,OTAY MESA DVN,.028,.031,C,C,.039,.038,.040,.037,.038,.043,.042,.044,.044,.044,.046,.046,.046,.033,.042,.036,.021,.029,.033,.034,.037,.046,14
,PENDLETON,.032,.020,C,C,.043,.043,.043,.039,.043,.045,.045,.046,.048,.047,.048,.046,.045,.041,.040,.038,.042,.042,.043,.043,.041,.048,12
02 NOX PPM,ALPINE,.001,.001,C,C,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,.001,.001,.001,.002,.001,.001,.001,.002,.001,.001,.001,.002,13
,CARMEL MT RCH,.006,.004,C,C,-.001,.010,-.001,.005,.018,.002,-.001,-.001,-.001,-.001,-.001,-.001,-.001,-.001,.000,-.001,.011,.013,.005,.016,.004,.018,08
,CHULA VISTA,.026,.016,C,C,.006,.010,.013,.023,.024,.009,.013,.014,.002,.002,.002,.001,.004,.003,.005,.015,.016,.017,.015,.012,.011,.026,00
,DOWNTOWN SES,.022,.018,C,C,.018,.015,.019,.031,.029,.036,.025,.012,.003,.001,.001,.001,.003,.004,.004,.011,.010,.015,.016,.023,.014,.036,09
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,.003,C,C,.002,.003,.004,.003,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.001,.002,.004,.007,.002,.007,23
,OTAY MESA DVN,.012,.006,C,C,.002,.004,.002,.005,.002,.001,.002,.000,.000,.001,.000,.000,.000,.011,.002,.005,.019,.010,.006,.003,.004,.019,20
,PENDLETON,.008,.029,C,C,.003,.002,.003,.005,.002,.002,.001,.001,.002,.002,.002,.002,.003,.004,.005,.008,.002,.002,.001,.002,.004,.029,01
03 NO2 PPM,ALPINE,.001,.000,C,C,.000,.000,.000,.000,.000,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.001,.001,.001,.001,.001,.001,00
,CARMEL MT RCH,.006,.004,C,C,-.001,.009,-.001,.004,.012,.001,-.001,-.001,-.001,-.001,-.001,-.001,-.001,-.001,.000,-.001,.009,.011,.004,.014,.003,.014,23
,CHULA VISTA,.023,.016,C,C,.006,.010,.013,.018,.016,.007,.009,.010,.001,.001,.002,.001,.004,.003,.005,.014,.016,.017,.015,.012,.010,.023,00
,DOWNTOWN SES,.020,.017,C,C,.017,.014,.017,.019,.019,.021,.016,.008,.002,.000,.001,.000,.002,.003,.004,.010,.010,.015,.015,.021,.011,.021,09
,EL CAJON LES,.019,.016,C,C,C,.011,.014,.012,.016,.004,.001,.001,.001,.001,.001,.001,.002,.013,.016,.014,.015,.020,.021,.014,.010,.021,22
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,.003,C,C,.002,.003,.004,.003,.000,.000,.000,-.001,.000,.000,.000,.000,.000,.000,.001,.001,.001,.002,.004,.007,.002,.007,23
,OTAY MESA DVN,.009,.006,C,C,.002,.003,.002,.004,.002,.001,.001,.000,.000,.001,.000,.000,.000,.010,.002,.005,.019,.010,.006,.003,.004,.019,20
,PENDLETON,.008,.022,C,C,.003,.002,.003,.005,.002,.002,.001,.001,.001,.002,.002,.002,.003,.004,.005,.008,.002,.002,.002,.002,.004,.022,01
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.000,.000,.000,.000,.001,.000,.001,.001,.000,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.001,10
,CARMEL MT RCH,.000,.000,C,C,.000,.000,.000,.001,.006,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,.002,.000,.003,.001,.006,08
,CHULA VISTA,.003,.000,C,C,.000,.000,.000,.006,.008,.002,.003,.004,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.008,08
,DOWNTOWN SES,.002,.001,C,C,.001,.001,.002,.012,.010,.015,.009,.004,.001,.000,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,.003,.015,09
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,00
