Current Date:,10/3/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
10/2/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.056,.057,C,C,.054,.056,.053,.055,.059,.060,.060,.061,.061,.062,.067,.070,.065,.064,.060,.052,.059,.059,.060,.058,.059,.070,15
,CHULA VISTA,.006,.017,C,C,.024,.021,.020,.017,.030,.042,.050,.058,.056,.061,.064,.066,.068,.066,.059,.050,.039,.035,.028,.013,.040,.068,16
,DOWNTOWN SES,.006,.003,C,C,.017,.013,.011,.017,.022,.027,.039,.052,.053,.057,.064,.062,.057,.054,.063,.055,.044,.035,.042,.018,.036,.064,14
,EL CAJON LES,.014,.005,C,C,C,.005,.007,.019,.035,.051,.059,.065,.069,.066,.064,.062,.061,.054,.046,.035,.029,.024,.021,.018,.038,.069,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.030,.037,C,C,.035,.037,.037,.033,.045,.054,.059,.061,.062,.066,.067,.064,.065,.062,.053,.036,.031,.035,.036,.032,.047,.067,14
,OTAY MESA DVN,.037,.033,C,C,.019,.021,.021,.015,.031,.042,.054,.059,.070,.072,.064,.061,.054,.057,.045,.038,.028,.004,.040,.014,.039,.072,13
,PENDLETON,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
02 NOX PPM,ALPINE,.002,.001,C,C,.002,.002,.006,.003,.001,.002,.001,.001,.001,.001,.002,.002,.003,.005,.006,.012,.004,.003,.002,.001,.003,.012,19
,CARMEL MT RCH,.035,.029,C,C,.043,.049,.050,.050,.015,.006,.015,.017,.017,.016,.017,.018,.019,.022,.032,.035,.032,.029,.029,.024,.027,.050,06
,CHULA VISTA,.038,.018,C,C,.014,.023,.022,.033,.022,.023,.019,.013,.012,.010,.009,.010,.011,.011,.012,.014,.014,.014,.014,.025,.017,.038,00
,DOWNTOWN SES,.040,.056,C,C,.020,.031,.035,.040,.047,.048,.036,.018,.019,.017,.014,.015,.022,.018,.009,.012,.017,.022,.018,.029,.027,.056,01
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.014,.008,C,C,.010,.010,.011,.020,.008,.005,.003,.005,.007,.006,.005,.008,.008,.009,.010,.019,.023,.017,.015,.014,.011,.023,20
,OTAY MESA DVN,.013,.013,C,C,.023,.021,.024,.055,.038,.033,.010,.004,.008,.005,.005,.005,.008,.008,.009,.015,.022,.066,.014,.044,.020,.066,21
,PENDLETON,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
03 NO2 PPM,ALPINE,.001,.001,C,C,.002,.002,.005,.003,.001,.001,.001,.001,.001,.001,.002,.002,.003,.004,.006,.010,.003,.003,.001,.001,.003,.010,19
,CARMEL MT RCH,.030,.025,C,C,.032,.035,.033,.030,.011,.005,.010,.011,.011,.011,.011,.012,.014,.019,.029,.032,.029,.027,.027,.023,.021,.035,05
,CHULA VISTA,.030,.018,C,C,.014,.017,.019,.022,.016,.018,.016,.012,.010,.009,.008,.009,.011,.011,.012,.014,.014,.014,.014,.025,.015,.030,00
,DOWNTOWN SES,.035,.038,C,C,.019,.026,.028,.027,.029,.033,.027,.014,.016,.015,.013,.013,.021,.018,.009,.011,.016,.021,.017,.028,.022,.038,01
,EL CAJON LES,.018,.023,C,C,C,.019,.021,.018,.013,.006,.003,.002,.002,.002,.002,.004,.007,.008,.012,.017,.016,.017,.015,.016,.011,.023,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.014,.008,C,C,.010,.010,.010,.014,.007,.005,.003,.004,.006,.005,.004,.007,.007,.009,.010,.019,.023,.017,.015,.014,.010,.023,20
