Current Date:,4/22/2022,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
4/21/2022
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.039,.040,C,C,.038,.035,.040,.035,M,M,M,M,M,M,M,M,M,.043,.040,.040,.040,.039,.039,.038,.038,.043,17
,CHULA VISTA,.026,.022,C,C,.019,.017,.027,.038,.038,.039,.045,.049,.048,.047,.050,.040,.036,.035,.034,.034,.035,.033,.034,.033,.035,.050,14
,DOWNTOWN SES,.029,.029,C,C,.021,.013,.016,.036,.036,.039,.045,.044,.043,.043,.045,.037,.035,.035,.033,.034,.033,.032,.032,.028,.033,.045,10
,EL CAJON LES,.028,.026,C,C,C,.014,.019,.035,.041,.044,.047,.052,.054,.049,.048,.046,.040,.038,.037,.036,.036,.036,.035,.034,.037,.054,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.025,.018,C,C,.014,.004,.026,.040,.043,.045,.047,.047,.046,.046,.046,.040,.038,.038,.036,.036,.037,.033,.032,.032,.034,.047,10
,OTAY MESA DVN,.037,.030,C,C,.028,.032,.036,.041,.040,.043,.044,.047,.050,.048,.047,.044,.037,.035,.032,.031,.032,.032,.029,.027,.037,.050,12
,PENDLETON,.025,.019,C,C,.021,.017,.016,.029,.035,.042,.046,.047,.048,.045,.039,.039,.039,.038,.037,.037,.035,.034,.035,.035,.034,.048,12
02 NOX PPM,ALPINE,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,,,,,,,,,,M,M
,CARMEL MT RCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHULA VISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN SES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PENDLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,
03 NO2 PPB,ALPINE,2.3,1.7,C,C,2.0,4.6,2.8,4.9,M,M,M,M,M,M,M,M,M,1.9,1.9,1.8,1.0,1.2,1.3,1.8,2.2,4.9,07
,CARMEL MT RCH,14.4,15.7,C,C,26.5,19.0,M,M,M,M,14.1,12.5,11.3,9.8,9.4,8.3,9.0,9.2,8.4,9.5,10.4,9.5,6.5,4.8,11.5,26.5,04
,CHULA VISTA,11.4,13.2,C,C,11.1,14.6,9.4,4.0,5.5,8.0,5.5,2.6,2.8,2.9,2.8,2.8,4.1,3.3,3.3,3.6,3.0,3.3,1.7,1.2,5.4,14.6,05
,DOWNTOWN SES,8.2,7.6,C,C,13.1,19.9,19.0,5.8,6.4,6.9,4.3,3.8,4.9,4.0,3.2,2.6,2.5,3.6,4.3,2.6,3.6,4.2,3.4,5.5,6.3,19.9,05
,EL CAJON LES,4.1,3.1,C,C,C,7.8,6.0,3.3,3.2,3.2,3.0,2.7,2.5,2.4,2.0,2.0,1.9,2.1,3.0,2.6,1.8,1.9,2.1,2.0,2.9,7.8,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,8.7,12.7,C,C,16.3,26.2,10.4,4.4,3.6,3.4,3.6,2.9,2.7,2.5,2.6,2.4,2.3,2.7,2.3,2.4,2.2,4.7,5.2,2.7,5.7,26.2,05
,OTAY MESA DVN,1.7,4.4,C,C,4.9,2.2,2.0,.9,.8,1.0,2.7,3.7,2.2,2.2,2.0,2.0,2.1,1.9,2.5,2.3,2.3,1.4,2.4,2.3,2.2,4.9,04
,PENDLETON,6.3,6.4,C,C,5.9,8.4,8.3,3.9,3.0,1.6,1.0,.8,2.3,.7,.7,.9,.8,.4,.6,1.1,1.3,1.3,.8,.7,2.6,8.4,05
04 NO PPB,ALPINE,-1.654,-1.663,C,C,-1.414,-1.047,-1.108,.360,M,M,M,M,M,M,M,M,M,.146,-.042,-.046,-.065,-.060,-.074,-.060,-.517,.360,07
,CARMEL MT RCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHULA VISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN SES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,.113,.896,C,C,2.468,.145,.344,.305,.180,.188,.708,1.048,.503,.564,.513,.508,.463,.229,.074,.130,.188,.249,.058,.061,.452,2.468,04
,PENDLETON,.027,.161,C,C,.644,1.732,5.821,1.816,1.014,.474,.051,-.058,1.537,-.038,.062,.107,.019,-.121,-.090,-.105,-.101,-.095,-.107,-.093,.575,5.821,06
06 CO PPM,CARMEL MT RCH,.3,.3,C,C,.6,.4,M,M,M,M,.4,.4,.4,.4,.4,.4,.4,.4,.4,.4,.4,.4,.2,.3,.4,.6,04
10 INTMP °C,ALPINE,27,28,28,28,28,28,27,26,25,25,24,25,25,25,25,25,25,25,25,26,26,26,26,26,26,28,01
,CARMEL MT RCH,25,25,25,25,25,25,21,21,25,25,24,25,24,24,24,24,25,25,25,25,25,25,25,26,25,26,23
,CHULA VISTA,22,23,23,23,23,23,24,23,23,23,24,25,26,26,26,26,26,26,26,25,25,25,24,24,24,26,12
,DOWNTOWN SES,25,26,26,26,26,26,26,26,26,25,25,25,22,24,25,25,25,25,25,25,25,25,25,25,25,26,01
,EL CAJON LES,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,25,25,25,25,25,25,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,24,25,25,25,25,25,08
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,26,26,27,21
,PENDLETON,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,00
11 PM2.5 µg/M3,ALPINE,2.9,1.1,2.5,1.2,1.5,2.6,2.1,-1.9,-7.8,-5.9,-2.3,-.1,4.5,4.9,4.2,6.3,5.4,3.3,1.9,4.5,2.0,1.6,3.3,1.9,1.6,6.3,15
,DOWNTOWN SES,6.1,5.3,5.0,4.6,4.0,4.2,4.2,4.3,6.2,5.9,5.4,3.6,5.7,7.5,5.7,2.6,3.1,1.3,2.4,4.6,6.9,4.9,2.8,4.3,4.6,7.5,13
,EL CAJON LES,4.2,2.9,2.3,4.2,3.1,3.0,9.8,8.7,9.4,8.0,4.4,6.0,5.4,4.1,2.3,-.1,4.4,5.3,4.1,2.7,2.5,2.1,3.6,3.2,4.4,9.8,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,3.0,3.1,4.6,6.2,3.8,3.0,5.6,5.4,7.1,2.3,2.9,2.6,4.6,6.2,4.7,3.9,3.2,1.0,-1.0,.3,.1,.1,4.2,4.0,3.3,7.1,08
,PENDLETON,2.0,2.2,2.1,2.1,.2,-.1,3.0,3.7,2.7,2.4,2.7,3.6,4.8,3.7,1.7,1.0,2.0,1.5,1.5,2.2,5.0,7.2,6.8,4.5,2.8,7.2,21
12 VWDR °,ALPINE,92,14,91,36,89,315,146,254,297,256,271,292,272,272,277,278,282,276,281,283,283,261,265,261,0,315,05
,CHULA VISTA,67,49,51,68,44,52,54,35,345,269,262,263,266,275,278,286,284,273,270,301,300,281,272,256,0,345,08
,DOWNTOWN SES,50,17,35,40,17,58,58,3,285,288,275,293,286,289,291,291,290,282,291,324,329,309,280,233,0,329,20
,EL CAJON LES,88,79,67,105,67,104,86,6,308,293,215,259,253,268,276,272,287,272,275,282,282,275,258,244,0,308,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,36,46,38,41,46,53,47,348,347,310,296,298,298,297,286,300,299,296,301,300,298,275,270,265,0,348,07
,OTAY MESA DVN,35,96,37,41,25,31,18,341,320,291,290,298,278,284,290,284,280,280,290,303,309,312,276,268,0,341,07
,PENDLETON,26,18,47,37,33,66,54,55,245,255,264,258,258,261,270,281,276,278,299,309,309,305,268,240,0,309,19
13 SIGTHETA °,ALPINE,16,34,27,18,23,23,38,42,37,44,37,32,41,33,27,28,30,30,25,24,25,25,28,29,30,44,09
,CHULA VISTA,21,21,23,16,22,17,20,25,37,24,23,19,19,20,19,20,19,20,18,20,22,23,19,20,21,37,08
,DOWNTOWN SES,16,23,15,24,26,45,31,39,56,25,24,19,26,22,23,25,22,18,20,23,22,23,25,21,26,56,08
