Current Date:,12/26/2022,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
12/25/2022
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.048,C,C,.046,.045,.046,.045,.043,.042,.042,.043,.044,.044,.044,.043,.048,.046,.043,.043,.043,.043,.045,.044,.042,.044,.048,00
,CHULA VISTA,.018,C,C,.020,.017,.020,.028,.025,.032,.035,.037,.041,.045,.045,.046,.043,.039,.022,.018,.014,.009,.011,.017,.019,.027,.046,14
,DOWNTOWN SES,.005,C,C,.011,.009,.012,.014,.019,.015,.016,.020,.029,.033,.039,.040,.041,.039,.029,.015,.009,.006,.004,.003,.006,.018,.041,15
,EL CAJON LES,.004,C,C,C,.002,.002,.002,.003,.009,.022,.030,.035,.043,.045,.043,.043,.040,.020,.013,.007,.004,.003,.003,.003,.017,.045,13
,KEARNY MESA,.031,C,C,.029,.031,.033,.031,.032,.033,.036,.039,.041,.044,.045,.048,.049,.047,.042,.039,.030,.029,.026,.028,.027,.035,.049,15
,OTAY MESA DVN,.039,C,C,.038,.038,.038,.034,.033,.031,.036,.039,.041,.044,.045,.047,.044,.040,.036,.022,.021,.034,.031,.018,.033,.035,.047,14
,PENDLETON,.015,C,C,.020,.024,.024,.031,.028,.027,.028,.025,.034,.042,.049,.053,.052,.052,.047,.032,.026,.020,.023,.020,.023,.031,.053,14
03 NO2 PPB,ALPINE,1.5,C,C,.5,.4,.4,.5,1.9,1.3,1.3,.8,.6,.6,.8,.8,2.3,3.5,3.6,1.9,1.9,2.0,.7,.5,.7,1.2,3.6,17
,CARMEL MT RCH,12.8,C,C,8.4,5.1,7.5,7.2,14.4,16.3,14.1,12.2,9.6,8.7,8.3,8.4,6.6,12.8,17.7,12.8,11.7,26.7,14.3,23.8,18.3,12.6,26.7,20
,CHULA VISTA,13.7,C,C,9.1,8.7,8.7,6.1,8.1,5.2,4.6,4.1,3.9,4.8,4.1,3.4,7.1,10.1,19.6,22.2,22.1,26.2,24.2,16.0,13.6,11.1,26.2,20
,DOWNTOWN SES,27.4,C,C,16.0,16.5,16.7,14.3,11.6,15.1,21.1,25.8,17.1,16.1,8.2,8.5,7.3,9.7,19.7,31.0,33.0,34.7,32.6,29.1,25.2,19.8,34.7,20
,EL CAJON LES,23.0,C,C,C,15.9,14.7,14.5,15.4,18.8,12.5,11.2,10.9,4.8,3.6,3.5,3.7,6.7,18.4,21.4,26.2,27.1,24.9,22.7,22.7,15.3,27.1,20
,KEARNY MESA,4.8,C,C,4.7,3.0,2.6,2.8,2.8,2.6,2.9,2.1,2.9,1.7,1.5,1.5,2.5,4.4,7.1,7.3,12.7,12.0,12.7,8.4,8.0,5.0,12.7,19
,OTAY MESA DVN,2.0,C,C,1.6,1.9,2.5,4.3,4.8,3.2,2.0,2.1,1.7,1.3,2.0,3.6,3.8,6.0,4.8,18.8,19.1,5.0,7.6,20.1,3.8,5.5,20.1,22
,PENDLETON,5.7,C,C,5.4,4.2,3.7,2.5,3.0,3.6,3.4,4.7,5.2,6.6,9.5,8.0,6.4,6.3,8.0,20.5,20.6,15.7,10.0,10.6,6.6,7.7,20.6,19
04 NO PPB,ALPINE,.0,C,C,.0,.0,.0,.0,.9,.2,.3,.1,.1,.1,.2,.1,.2,.1,.1,.0,.2,.2,.0,.0,.0,.1,.9,07
,OTAY MESA DVN,.5,C,C,.5,.5,.5,.5,1.0,1.1,.9,.9,.8,.7,.8,1.1,1.2,.7,.5,.6,.6,.5,.8,.8,.6,.7,1.2,15
,PENDLETON,.0,C,C,.0,-.1,-.1,-.1,.0,.8,.8,1.8,1.6,1.6,2.0,1.3,.4,.0,-.2,-.2,-.1,-.1,-.1,.0,-.1,.4,2.0,13
