Current Date:,7/22/2022,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
7/21/2022
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.034,.037,.036,.034,.032,.034,.033,.039,.046,.049,.054,.066,.065,.059,.052,.052,.047,.042,.039,.034,.023,.018,.015,.034,.040,.066,11
,CHULA VISTA,.009,.009,C,C,.012,.015,.015,.015,.022,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.013,.022,08
,DOWNTOWN SES,.012,.024,C,C,.023,.020,.019,.016,.018,.028,.032,.030,.032,.034,.032,.029,.027,.025,.027,.032,.027,.026,.026,.025,.025,.034,13
,EL CAJON LES,.008,.009,C,C,C,.006,.011,.018,.026,.036,.040,.043,.046,.041,.042,.038,.035,.034,.028,.025,.023,.022,.020,.022,.027,.046,12
,KEARNY MESA,.013,.015,C,C,.011,.015,.012,.019,.025,.032,.040,.037,.034,.038,.034,.036,.033,.029,.027,.028,.025,.024,.022,.022,.025,.040,10
,OTAY MESA DVN,.009,.006,C,C,.013,.013,.010,.014,.020,.030,.038,.037,.035,.037,.037,.034,.032,.029,.025,.023,.023,.024,.025,.023,.024,.038,10
,PENDLETON,.014,.011,C,C,.026,.025,.026,.022,.022,.027,.030,.033,.029,.031,.032,.032,.031,.033,.033,.031,.033,.033,.033,.025,.027,.033,11
03 NO2 PPB,ALPINE,2.9,2.2,2.5,2.6,3.5,3.2,6.2,7.2,2.8,3.4,3.2,2.9,3.7,2.6,3.0,2.7,2.7,3.9,4.1,4.6,13.0,16.0,17.4,3.4,4.9,17.4,22
,CARMEL MT RCH,15.2,16.9,C,C,15.0,16.7,13.8,9.9,18.4,15.0,14.7,12.1,14.6,19.1,18.1,13.9,11.4,11.7,13.1,13.3,15.2,11.6,9.6,7.0,13.9,19.1,13
,CHULA VISTA,10.6,9.5,C,C,11.7,10.0,9.7,11.6,10.8,M,M,M,M,M,1.6,1.3,1.6,1.6,1.1,1.0,1.2,1.3,1.6,1.7,5.1,11.7,04
,DOWNTOWN SES,11.4,3.8,C,C,4.1,6.1,6.9,12.4,14.1,8.1,6.5,5.5,3.4,3.7,3.5,3.0,2.7,3.8,2.9,2.5,5.5,5.0,4.8,5.1,5.6,14.1,08
,EL CAJON LES,10.8,9.6,C,C,C,9.3,7.7,7.2,7.9,7.4,8.8,8.9,3.6,4.6,4.5,3.7,3.4,3.3,4.2,4.8,4.5,4.5,4.4,4.3,6.0,10.8,00
,KEARNY MESA,12.8,11.7,C,C,12.7,13.1,15.6,11.5,12.0,10.0,7.3,6.1,7.1,6.4,5.8,5.1,4.6,4.5,5.4,5.5,7.3,7.8,8.9,8.8,8.6,15.6,06
,OTAY MESA DVN,10.9,13.6,C,C,5.3,5.5,10.5,20.2,33.1,12.8,4.8,2.4,1.6,1.9,2.0,2.1,2.4,2.4,2.2,2.1,2.3,2.1,2.4,2.3,6.5,33.1,08
,PENDLETON,8.5,10.7,C,C,2.9,4.2,5.1,10.6,16.2,9.7,3.6,.5,6.7,8.8,5.1,.4,.3,.4,.7,1.7,.6,.4,.4,5.6,4.6,16.2,08
04 NO PPB,ALPINE,.0,.0,.0,.0,.3,.2,1.2,1.9,.5,.6,.4,.2,.4,.2,.3,.3,.3,.3,.0,.0,.0,.0,.1,.7,.3,1.9,07
,OTAY MESA DVN,.5,.6,C,C,.1,.6,5.8,15.3,17.9,6.5,1.3,.5,.4,.6,.4,.4,.5,.2,.1,.0,.2,.1,.0,.0,2.3,17.9,08
,PENDLETON,.1,.1,C,C,.0,.1,1.4,11.6,19.9,11.8,4.6,.1,8.1,10.6,5.9,.0,.0,.0,.0,1.1,.0,.0,.0,.0,3.4,19.9,08
06 CO PPM,CARMEL MT RCH,.3,.3,C,C,.6,.8,.5,.3,.5,.4,.5,.5,.5,.6,.6,.6,.6,.5,.5,.5,.4,.3,.3,.3,.5,.8,05
10 INTMP °C,ALPINE,25,25,25,25,26,25,25,25,25,25,25,25,25,25,24,25,25,25,25,25,25,25,25,25,25,26,04
,CARMEL MT RCH,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,CHULA VISTA,26,26,26,26,26,26,26,26,26,26,26,26,25,25,26,26,26,26,26,26,26,26,26,26,26,26,00
,DOWNTOWN SES,26,26,26,26,26,26,25,26,26,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,25,26,00
,EL CAJON LES,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,00
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,26,27,26,26,26,27,26,26,26,26,25,25,24,24,25,25,25,25,25,26,26,26,27,26,26,27,01
,PENDLETON,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,00
11 PM2.5 µg/M3,ALPINE,7.0,6.6,5.0,11.1,8.6,4.8,4.2,6.0,3.3,1.8,4.5,10.6,11.0,10.1,7.7,5.9,3.9,7.8,7.2,7.4,6.0,13.8,7.9,3.4,6.9,13.8,21
