Current Date:,3/11/2022,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
3/10/2022
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.026,.028,C,C,.034,.041,.040,.041,.044,.047,.050,.051,.053,.055,.057,.056,.056,.056,.051,.049,.046,.039,.044,.049,.046,.057,14
,CHULA VISTA,.038,.035,C,C,.030,.031,.023,.019,.030,.036,.041,.045,.049,.048,.046,.049,.050,.047,.041,.037,.024,.009,.007,.017,.034,.050,16
,DOWNTOWN SES,.043,.044,C,C,.030,.029,.026,.024,.031,.036,.044,.045,.042,.044,.045,.047,.047,.046,.047,.040,.031,.020,.010,.018,.035,.047,15
,EL CAJON LES,.022,.024,C,C,C,.029,.032,.033,.038,.043,.045,M,M,M,M,M,M,M,M,.000,.011,.018,.025,.019,.026,.045,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.038,.036,C,C,.033,.033,.030,.035,.040,.044,.046,.046,.048,.049,.051,.052,.051,.049,.046,.039,.024,.018,.024,.020,.038,.052,15
,OTAY MESA DVN,.038,.035,.035,.039,.039,.038,.029,.026,.030,.033,.041,.042,.043,.047,.047,.048,.046,.045,.041,.036,.032,.030,.023,.008,.036,.048,15
,PENDLETON,.040,.040,C,C,.036,.032,.032,.037,.043,.047,.047,.052,.052,.053,.052,.052,.054,.055,.051,.039,.028,.028,.031,.030,.042,.055,17
02 NOX PPM,ALPINE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CARMEL MT RCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHULA VISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN SES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
