Current Date:,5/4/2022,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
5/3/2022
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.044,.042,C,C,.037,.037,.036,.038,.040,M,M,M,.061,.063,C,C,C,C,C,C,C,.038,.028,.025,.040,.063,13
,CHULA VISTA,.049,.048,C,C,.048,.046,.044,.042,.044,.047,.047,.047,.046,.047,.047,.047,.045,.045,.044,.044,.041,.040,.035,.031,.044,.049,00
,DOWNTOWN SES,.048,.048,C,C,.045,.045,.044,.043,.043,.046,.046,.045,.045,.046,.046,.045,.044,.043,.043,.041,.043,.041,.041,.040,.044,.048,00
,EL CAJON LES,.044,.041,C,C,C,.039,.042,.041,.040,.042,.046,.050,.052,.052,.051,.050,.048,.046,.042,.040,.036,.035,.033,.032,.042,.052,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.049,.049,C,C,.046,.044,.043,.044,.043,.045,.046,.051,.050,.048,.048,.048,.047,.045,.042,.038,.036,.036,.021,.020,.042,.051,11
,OTAY MESA DVN,.036,.040,C,C,.037,.035,.034,.036,.038,.042,.044,.048,.049,.048,.048,.047,.046,.043,.041,.039,.036,.035,.033,.030,.040,.049,12
,PENDLETON,.053,.052,C,C,.049,.048,.048,.049,.046,.047,.046,.046,.047,.049,.046,.046,.045,.046,.045,.046,.046,.046,.036,.024,.045,.053,00
02 NOX PPM,ALPINE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CARMEL MT RCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHULA VISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN SES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PENDLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,
03 NO2 PPB,ALPINE,2.7,2.8,C,C,4.4,3.6,4.6,6.1,5.9,,,,3.5,2.8,C,C,C,C,C,C,C,6.1,11.0,9.2,5.2,11.0,22
,CARMEL MT RCH,4.7,2.9,C,C,2.7,16.5,29.6,28.2,29.7,M,M,M,M,17.8,20.8,21.5,19.4,13.9,13.8,11.9,14.0,14.4,13.0,13.8,16.0,29.7,08
,CHULA VISTA,1.5,1.2,C,C,1.2,3.0,5.2,6.5,3.2,2.0,2.3,1.4,1.3,1.5,1.5,1.9,2.1,1.4,1.6,1.5,2.4,2.1,5.1,6.7,2.5,6.7,23
