Current Date:,11/23/2022,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
11/22/2022
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.048,.050,C,C,.051,.050,.049,.045,.043,M,M,M,M,M,M,M,.053,.049,.045,.049,.050,.049,.051,.052,.048,.053,16
,CHULA VISTA,.009,.005,C,C,.020,.021,.009,.016,.030,.029,.034,.033,.037,.050,.054,.052,.040,.029,.015,.002,.008,.010,.010,.015,.024,.054,14
,DOWNTOWN SES,.002,.005,C,C,.013,.022,.015,.018,.028,.034,.017,.032,.042,.050,.046,.043,.032,.029,.019,.004,.001,.000,.004,.006,.021,.050,13
,EL CAJON LES,.002,.002,C,C,C,.002,.002,.005,.010,.017,.027,.044,.050,.049,.052,.049,.039,.016,.014,.008,.006,.003,.003,.002,.019,.052,14
,KEARNY MESA,.030,.028,C,C,.032,.026,.012,.015,.028,.025,.045,.046,.052,.053,.055,.052,.044,.035,.026,.022,.016,.014,.021,.022,.031,.055,14
,OTAY MESA DVN,.035,.031,C,C,.033,.024,.027,.030,.025,.019,.032,.047,.049,.048,.055,.054,.051,.042,.042,.011,.016,.037,.023,.023,.034,.055,14
,PENDLETON,.025,.028,C,C,.030,.028,.023,.017,.027,.026,.031,.038,.042,.040,.043,.041,.040,.034,.032,.008,.007,.013,.018,.014,.027,.043,14
03 NO2 PPB,ALPINE,1.5,.8,C,C,1.0,1.2,1.2,3.7,6.3,M,M,M,M,M,M,M,8.4,10.9,12.2,6.3,3.9,7.3,3.4,2.4,4.7,12.2,18
,CARMEL MT RCH,36.2,32.4,C,C,37.9,40.3,36.5,43.0,38.2,37.4,27.5,24.9,17.7,24.6,23.8,25.1,24.7,28.7,41.8,43.0,40.4,37.8,28.5,33.3,32.8,43.0,07
,CHULA VISTA,24.5,26.4,C,C,14.5,14.6,27.7,24.3,11.3,13.6,12.3,17.2,17.8,7.4,5.9,9.4,11.7,12.7,24.1,39.6,33.5,32.0,29.5,22.7,19.6,39.6,19
,DOWNTOWN SES,33.0,29.8,C,C,19.0,14.9,23.4,22.0,13.8,9.7,34.0,19.7,12.7,6.1,10.6,14.6,23.7,23.6,30.2,43.0,42.9,39.2,37.8,30.2,24.2,43.0,19
,EL CAJON LES,27.2,25.3,C,C,C,22.0,22.1,23.9,26.3,23.6,19.1,7.3,5.2,6.7,5.6,8.6,17.4,31.5,29.4,33.2,31.6,31.5,30.1,29.4,21.7,33.2,19
,KEARNY MESA,9.6,11.5,C,C,7.5,13.6,28.8,25.0,14.7,21.0,7.0,7.0,4.7,5.8,5.4,7.6,11.7,17.0,20.5,23.6,28.9,30.6,21.4,16.9,15.4,30.6,21
,OTAY MESA DVN,6.1,8.4,C,C,7.3,16.6,15.0,11.9,18.6,28.2,15.4,3.2,6.1,9.3,3.9,5.4,7.5,13.5,8.1,43.7,38.0,10.6,23.9,25.0,14.8,43.7,19
,PENDLETON,9.0,7.0,C,C,5.7,7.7,11.3,27.2,11.5,9.9,8.2,4.9,5.2,8.2,7.1,8.6,12.0,17.1,15.4,36.5,31.9,21.7,14.5,16.5,13.5,36.5,19
04 NO PPB,ALPINE,.0,.0,C,C,.0,.1,.0,.8,1.6,M,M,M,M,M,M,M,.1,.5,.5,.2,.0,1.9,.0,.0,.3,1.9,21
,OTAY MESA DVN,.4,.5,C,C,1.0,3.4,4.5,2.8,7.8,15.5,7.2,1.1,1.9,2.9,1.0,.9,.8,2.4,.5,16.3,7.6,.8,3.3,3.2,3.9,16.3,19
,PENDLETON,1.0,.1,C,C,.2,.5,1.1,35.7,5.2,5.0,4.3,3.4,1.5,3.0,2.7,1.8,.4,.5,.1,5.4,3.4,1.4,1.6,2.8,3.6,35.7,07
06 CO PPM,CARMEL MT RCH,.8,.4,C,C,.6,1.0,.9,1.3,1.1,.9,.6,.6,.5,.7,.7,.9,.8,.8,1.0,.9,1.0,1.1,.6,.9,.8,1.3,07
