Current Date:,5/5/2024,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
5/4/2024
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.045,.043,C,C,.036,.030,.029,.036,.041,.039,.041,.044,.047,.056,.055,.047,.045,.042,.040,.042,.039,.036,.035,.030,.040,.056,13
,CHULA VISTA,.044,.043,C,C,.043,.044,.043,.043,.043,.046,.048,.050,.046,.043,.042,.042,.040,.040,.039,.038,.036,.032,.028,.024,.040,.050,11
,DOWNTOWN SES,.047,.045,C,C,.044,.042,.044,.045,.045,.045,.046,.047,.045,.044,.043,.042,.039,.039,.038,.037,.032,.031,.026,.024,.040,.047,00
,EL CAJON LES,.045,.043,C,C,C,.040,.041,.037,.042,.045,.045,.048,.052,.052,.046,.045,.042,.041,.041,.038,.036,.033,.031,.027,.041,.052,12
,KEARNY MESA,.051,.049,C,C,.044,.045,.045,.045,.045,.046,.048,.050,.048,.046,.044,.043,.042,.041,.040,.039,.033,.030,.028,.026,.042,.051,00
,OTAY MESA DVN,.043,.044,C,C,.037,.037,.038,.042,.038,.038,.046,.052,.054,.048,.044,.043,.042,.039,.038,.038,.036,.031,.028,.026,.040,.054,12
,PENDLETON,.052,.052,C,C,.045,.040,.045,.048,.046,.046,.043,.044,.044,.044,.043,.044,.045,.044,.040,.037,.034,.033,.035,.029,.042,.052,00
03 NO2 PPB,ALPINE,2.2,2.3,C,C,2.8,4.0,5.0,3.1,1.8,2.2,2.6,2.4,2.0,3.4,4.7,4.1,3.3,3.3,2.5,2.0,2.1,2.9,1.9,1.4,2.8,5.0,06
,CARMEL MT RCH,3.7,2.7,C,C,10.0,10.4,6.0,6.5,12.2,13.5,11.3,12.2,9.6,6.7,6.9,7.6,6.7,7.4,6.5,7.4,7.7,5.4,4.2,4.2,7.6,13.5,09
,CHULA VISTA,2.7,2.7,C,C,2.4,2.9,3.1,3.6,5.4,2.9,2.0,1.8,1.6,1.3,1.3,1.4,1.7,1.8,2.0,1.4,1.5,1.3,1.3,1.5,2.1,5.4,08
